"","source","target"
"2","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"3","Destruction/Damage/Vandalism of Property","Robbery"
"4","Simple Assault","Intimidation"
"5","Destruction/Damage/Vandalism of Property","Simple Assault"
"6","Intimidation","Destruction/Damage/Vandalism of Property"
"7","Destruction/Damage/Vandalism of Property","Simple Assault"
"8","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"9","Intimidation","Destruction/Damage/Vandalism of Property"
"10","All Other Larceny","Destruction/Damage/Vandalism of Property"
"11","Simple Assault","Intimidation"
"12","Destruction/Damage/Vandalism of Property","Simple Assault"
"13","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"14","Destruction/Damage/Vandalism of Property","Motor Vehicle Theft"
"15","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"16","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"17","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"18","Drug Equipment Violations","Drug/Narcotic Violations"
"19","Simple Assault","Drug/Narcotic Violations"
"20","Weapon Law Violations","Drug Equipment Violations"
"21","Drug/Narcotic Violations","Simple Assault"
"22","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"23","Weapon Law Violations","Drug/Narcotic Violations"
"24","Simple Assault","Weapon Law Violations"
"25","Stolen Property Offenses","Robbery"
"26","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"27","Aggravated Assault","Destruction/Damage/Vandalism of Property"
"28","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"29","Purse-snatching","Stolen Property Offenses"
"30","Purse-snatching","Extortion/Blackmail"
"31","Stolen Property Offenses","Extortion/Blackmail"
"32","Weapon Law Violations","Simple Assault"
"33","Theft From Building","Simple Assault"
"34","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"35","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"36","Weapon Law Violations","Drug/Narcotic Violations"
"37","Motor Vehicle Theft","Destruction/Damage/Vandalism of Property"
"38","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"39","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"40","Fondling","Robbery"
"41","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"42","Drug/Narcotic Violations","Simple Assault"
"43","Simple Assault","Drug/Narcotic Violations"
"44","All Other Larceny","Destruction/Damage/Vandalism of Property"
"45","Drug/Narcotic Violations","Aggravated Assault"
"46","Stolen Property Offenses","Purse-snatching"
"47","Destruction/Damage/Vandalism of Property","Purse-snatching"
"48","Simple Assault","Drug/Narcotic Violations"
"49","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"50","Weapon Law Violations","Robbery"
"51","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"52","All Other Larceny","Counterfeiting/Forgery"
"53","Aggravated Assault","Robbery"
"54","Drug/Narcotic Violations","Weapon Law Violations"
"55","Weapon Law Violations","Simple Assault"
"56","Simple Assault","Weapon Law Violations"
"57","Simple Assault","Drug/Narcotic Violations"
"58","Weapon Law Violations","Drug/Narcotic Violations"
"59","Robbery","Intimidation"
"60","Destruction/Damage/Vandalism of Property","Simple Assault"
"61","Drug/Narcotic Violations","Drug Equipment Violations"
"62","Simple Assault","Destruction/Damage/Vandalism of Property"
"63","Drug/Narcotic Violations","Drug Equipment Violations"
"64","Stolen Property Offenses","Weapon Law Violations"
"65","Weapon Law Violations","Aggravated Assault"
"66","Weapon Law Violations","Intimidation"
"67","Simple Assault","Destruction/Damage/Vandalism of Property"
"68","Destruction/Damage/Vandalism of Property","All Other Larceny"
"69","Destruction/Damage/Vandalism of Property","All Other Larceny"
"70","Simple Assault","Destruction/Damage/Vandalism of Property"
"71","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"72","Simple Assault","Drug/Narcotic Violations"
"73","Purse-snatching","Destruction/Damage/Vandalism of Property"
"74","Simple Assault","Destruction/Damage/Vandalism of Property"
"75","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"76","Weapon Law Violations","Drug/Narcotic Violations"
"77","Destruction/Damage/Vandalism of Property","Simple Assault"
"78","Intimidation","Simple Assault"
"79","Drug Equipment Violations","Drug/Narcotic Violations"
"80","Drug/Narcotic Violations","Weapon Law Violations"
"81","Drug/Narcotic Violations","Simple Assault"
"82","Weapon Law Violations","Simple Assault"
"83","Aggravated Assault","Weapon Law Violations"
"84","Destruction/Damage/Vandalism of Property","Simple Assault"
"85","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"86","Simple Assault","All Other Larceny"
"87","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"88","Simple Assault","All Other Larceny"
"89","Drug Equipment Violations","Drug/Narcotic Violations"
"90","Drug Equipment Violations","Simple Assault"
"91","Drug/Narcotic Violations","Simple Assault"
"92","Drug/Narcotic Violations","Simple Assault"
"93","Drug/Narcotic Violations","Stolen Property Offenses"
"94","Simple Assault","Stolen Property Offenses"
"95","Simple Assault","Drug/Narcotic Violations"
"96","Simple Assault","Drug Equipment Violations"
"97","Drug/Narcotic Violations","Drug Equipment Violations"
"98","Weapon Law Violations","Intimidation"
"99","Drug/Narcotic Violations","Drug Equipment Violations"
"100","All Other Larceny","Destruction/Damage/Vandalism of Property"
"101","All Other Larceny","Drug/Narcotic Violations"
"102","All Other Larceny","Simple Assault"
"103","Drug/Narcotic Violations","Simple Assault"
"104","Drug Equipment Violations","Drug/Narcotic Violations"
"105","Destruction/Damage/Vandalism of Property","Motor Vehicle Theft"
"106","Destruction/Damage/Vandalism of Property","Simple Assault"
"107","Simple Assault","All Other Larceny"
"108","Simple Assault","Destruction/Damage/Vandalism of Property"
"109","Drug Equipment Violations","Drug/Narcotic Violations"
"110","Motor Vehicle Theft","Destruction/Damage/Vandalism of Property"
"111","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"112","All Other Larceny","Destruction/Damage/Vandalism of Property"
"113","Simple Assault","All Other Larceny"
"114","Simple Assault","Destruction/Damage/Vandalism of Property"
"115","All Other Larceny","Destruction/Damage/Vandalism of Property"
"116","Simple Assault","Drug/Narcotic Violations"
"117","Drug/Narcotic Violations","Simple Assault"
"118","Stolen Property Offenses","Robbery"
"119","Destruction/Damage/Vandalism of Property","Theft of Motor Vehicle Parts or Accessories"
"120","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"121","Destruction/Damage/Vandalism of Property","Theft of Motor Vehicle Parts or Accessories"
"122","Simple Assault","Weapon Law Violations"
"123","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"124","Weapon Law Violations","Stolen Property Offenses"
"125","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"126","Robbery","Stolen Property Offenses"
"127","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"128","Drug Equipment Violations","Simple Assault"
"129","Drug/Narcotic Violations","Intimidation"
"130","Purse-snatching","Weapon Law Violations"
"131","Simple Assault","All Other Larceny"
"132","Simple Assault","Drug/Narcotic Violations"
"133","Stolen Property Offenses","Simple Assault"
"134","Simple Assault","Destruction/Damage/Vandalism of Property"
"135","Drug Equipment Violations","Drug/Narcotic Violations"
"136","Stolen Property Offenses","Drug/Narcotic Violations"
"137","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"138","Credit Card/Automated Teller Machine Fraud","All Other Larceny"
"139","Destruction/Damage/Vandalism of Property","Theft of Motor Vehicle Parts or Accessories"
"140","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"141","Drug/Narcotic Violations","Weapon Law Violations"
"142","All Other Larceny","Destruction/Damage/Vandalism of Property"
"143","Simple Assault","Aggravated Assault"
"144","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"145","Destruction/Damage/Vandalism of Property","Theft of Motor Vehicle Parts or Accessories"
"146","Simple Assault","Destruction/Damage/Vandalism of Property"
"147","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"148","Stolen Property Offenses","Drug/Narcotic Violations"
"149","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"150","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"151","Simple Assault","Drug/Narcotic Violations"
"152","Simple Assault","Drug Equipment Violations"
"153","Drug/Narcotic Violations","Drug Equipment Violations"
"154","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"155","Stolen Property Offenses","Purse-snatching"
"156","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"157","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"158","Simple Assault","Destruction/Damage/Vandalism of Property"
"159","Drug/Narcotic Violations","Drug Equipment Violations"
"160","Simple Assault","Drug/Narcotic Violations"
"161","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"162","Robbery","Weapon Law Violations"
"163","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"164","Weapon Law Violations","Drug/Narcotic Violations"
"165","Impersonation","Drug Equipment Violations"
"166","Impersonation","Drug/Narcotic Violations"
"167","Drug Equipment Violations","Drug/Narcotic Violations"
"168","Destruction/Damage/Vandalism of Property","Simple Assault"
"169","Simple Assault","Purse-snatching"
"170","Destruction/Damage/Vandalism of Property","All Other Larceny"
"171","Theft of Motor Vehicle Parts or Accessories","Destruction/Damage/Vandalism of Property"
"172","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"173","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"174","Stolen Property Offenses","Motor Vehicle Theft"
"175","Stolen Property Offenses","Destruction/Damage/Vandalism of Property"
"176","Motor Vehicle Theft","Destruction/Damage/Vandalism of Property"
"177","Drug Equipment Violations","Drug/Narcotic Violations"
"178","Drug/Narcotic Violations","Drug Equipment Violations"
"179","Theft From Motor Vehicle","Destruction/Damage/Vandalism of Property"
"180","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"181","Destruction/Damage/Vandalism of Property","Theft From Motor Vehicle"
"182","Fondling","Simple Assault"
"183","Weapon Law Violations","Robbery"
