"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2019,37231655,1,37533085
2019,37238489,1,37528844
2019,34380694,1,34400129
2019,34385999,1,34386553
2019,34386001,1,34386555
2019,34386002,1,34386556
2019,35280458,1,35541737
2019,35267322,1,35562741
2019,34378017,2,34386515
2019,34380541,1,34394972
2019,34380550,1,34399983
2019,34380681,1,34400116
2019,34380682,1,34400117
2019,34380684,1,34400119
2019,34386003,1,34386557
2019,34380691,1,34400126
2019,34380692,1,34400127
2019,34380693,1,34400128
2019,34380695,1,34400130
2019,34380696,1,34400131
2019,34380697,1,34400132
2019,34380698,1,34400133
2019,34380699,1,34400134
2019,34380700,1,34400135
2019,34380701,1,34400136
2019,34380702,1,34400137
2019,34380703,1,34400138
2019,34380704,1,34400139
2019,34380705,1,34400140
2019,34380706,1,34400141
2019,34380707,1,34400142
2019,34380708,1,34400143
2019,34380709,1,34400144
2019,34380710,1,34400145
2019,34380711,1,34400146
2019,34380712,1,34400147
2019,34380713,1,34400148
2019,34380714,1,34400149
2019,34380715,1,34400150
2019,34380716,1,34400151
2019,34380717,1,34400152
2019,34380718,1,34400153
2019,34380719,1,34400154
2019,34380720,1,34400155
2019,34380721,1,34400156
2019,34380722,1,34400157
2019,34380723,1,34400158
2019,34380724,1,34400159
2019,34380725,1,34400160
2019,34380726,1,34400161
2019,34380727,1,34400162
2019,34380728,1,34400163
2019,34380729,1,34400164
2019,34380730,1,34400165
2019,34380731,1,34400166
2019,34380732,1,34400167
2019,34380733,7,34400168
2019,34380734,1,34400169
2019,34380735,1,34400170
2019,34378029,1,34394978
2019,34380533,1,34399964
2019,34380548,1,34399981
2019,35784370,1,35882555
2019,35784366,1,35879900
2019,35787223,1,35882548
2019,35787216,1,35882542
2019,35787217,1,35882543
2019,35784369,1,35879902
2019,35787228,1,35879903
2019,34380555,1,34399989
2019,34385979,1,34394983
2019,36682719,1,36863142
2019,36682722,1,36863145
2019,34378034,1,34386533
2019,35787209,1,35882536
2019,34378038,1,34394986
2019,35787211,1,35882538
2019,35787213,1,35882540
2019,35787210,1,35882537
2019,35787212,1,35882539
2019,35787214,1,35885657
2019,36678971,1,36866450
2019,36678973,1,36866452
2019,36678972,1,36866451
2019,36682712,1,36863135
2019,34385955,1,34386513
2019,33504658,1,33527734
2019,33504554,1,33535759
2019,33504647,1,33527713
2019,33504565,1,33535767
2019,33496495,1,33527735
2019,33496500,1,33527740
2019,31422409,1,31433622
2019,31417293,1,31438545
2019,31417294,1,31438546
2019,31417295,1,31438547
2019,31422396,1,31433594
2019,31422398,1,31438548
2019,31427278,7,31433601
2019,31427312,1,31433638
2019,31417307,1,31443590
2019,31427289,1,31433612
2019,31427290,1,31433613
2019,31422406,1,31433615
2019,31417318,1,31443594
2019,31427330,1,31438581
2019,33504547,1,33535750
2019,31417322,1,31438567
2019,33500850,1,33532158
2019,33500846,1,33527591
2019,31427303,1,31433629
2019,31422427,7,31433652
2019,31417323,1,31433627
2019,31422434,3,31443630
2019,31417291,1,31433592
2019,31422420,6,31438577
2019,31422419,1,31433645
2019,33504656,1,33535857
2019,33500958,1,33527732
2019,31417328,1,31433634
2019,31427287,1,31433610
2019,34378025,1,34394975
2019,34385968,1,34386524
2019,34385973,1,34386529
2019,34380553,1,34394980
2019,33496431,1,33532206
2019,33496487,1,33527728
2019,34385987,1,34386541
2019,34380592,1,34400027
2019,34380593,1,34400028
2019,33496459,1,33532253
2019,33504640,3,33532254
2019,33504644,1,33535847
2019,33496480,7,33527721
2019,33496492,1,33535858
2019,33500968,1,33527743
2019,33504677,1,33535878
2019,33500970,1,33527762
2019,33500972,1,33532276
2019,34385960,1,34399963
2019,34385961,1,34386518
2019,34380532,1,34399962
2019,31417338,1,31438579
2019,33496518,1,33527763
2019,31427327,1,31443620
2019,34378043,1,34394992
2019,34380594,1,34400029
2019,34380595,1,34400030
2019,34380596,1,34400031
2019,34380597,1,34400032
2019,31427308,1,31433635
2019,31417296,1,31438549
2019,31427306,1,31438570
2019,31427331,1,31433653
2019,31422430,1,31433656
2019,33496402,1,33532174
2019,31427283,1,31433604
2019,31427281,1,31433603
2019,33496392,1,33535782
2019,33504582,1,33535790
2019,33500884,1,33527650
2019,33500883,1,33535801
2019,33500885,1,33532191
2019,33504657,1,33535860
2019,31417314,1,31433617
2019,31417315,1,31438561
2019,31427284,1,31433606
2019,31427313,1,31443606
2019,31427320,1,31433643
2019,31427324,1,31443616
2019,31422429,7,31438583
2019,31422432,1,31443628
2019,33504637,7,33527700
2019,33496479,1,33527719
2019,33500957,1,33527729
2019,33496490,1,33527733
2019,33496498,1,33527738
2019,31422401,1,31443583
2019,31417303,1,31443585
2019,31417308,1,31443591
2019,31417339,1,31433648
2019,33504580,1,33535785
2019,33496387,1,33527625
2019,33500861,1,33532169
2019,33504600,1,33535810
2019,33504599,1,33535809
2019,33496430,1,33527665
2019,33504614,1,33532220
2019,33496437,1,33527683
2019,33496443,1,33532227
2019,31427293,7,31433618
2019,33496478,1,33532260
2019,31417302,1,31443584
2019,31417309,1,31438558
2019,31427298,1,31433625
2019,31422414,1,31443601
2019,31427309,1,31433636
