"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,37238488,121535890,1,27-FEB-20,2,"N",16,5,45,"M",2,2,"R","","",45,0
2020,37231657,121535891,1,22-FEB-20,1,"N",5,5,48,"M",2,2,"R","","",48,0
2020,38200287,123448364,1,27-APR-20,3,"N",40,5,25,"M",2,2,"R","","",25,0
2020,38200292,123448372,1,26-MAR-20,2,"N",45,5,31,"M",2,2,"R","","",31,0
2020,38200297,123448379,1,22-APR-20,1,"N",35,5,28,"M",2,2,"R","","",28,0
2020,38200298,123448382,1,27-APR-20,2,"N",16,5,25,"M",2,2,"R","","",25,0
2020,38200301,123448394,1,24-APR-20,2,"N",16,5,39,"F",2,2,"R","","",39,0
2020,38200304,123448410,1,30-MAR-20,3,"N",27,5,31,"M",2,2,"N","","",31,0
2020,38200309,123448415,3,14-FEB-20,1,"N",51,5,16,"F",2,2,"R","H","",16,0
2020,38200307,123448415,1,14-FEB-20,1,"N",51,5,16,"F",2,2,"R","H","",16,0
2020,38200308,123448415,2,14-FEB-20,1,"N",51,5,16,"F",2,2,"R","H","",16,0
2020,38200310,123448415,4,08-APR-20,3,"N",51,5,17,"M",2,2,"R","H","",17,0
2020,36682776,120074161,1,17-JAN-20,1,"N",40,5,13,"M",2,2,"N","R","",13,0
2020,36682777,120074163,1,15-JAN-20,1,"N",51,5,26,"F",2,2,"R","","",26,0
2020,36682778,120074165,1,16-JAN-20,1,"N",51,5,15,"M",2,2,"R","R","",15,0
2020,36682779,120074166,1,16-JAN-20,1,"N",44,5,25,"M",2,2,"R","","",25,0
2020,36682780,120074167,1,10-JAN-20,3,"N",51,5,21,"M",2,2,"N","","",21,0
2020,36682781,120074168,1,15-JAN-20,2,"N",16,5,25,"M",2,2,"R","","",25,0
2020,36682782,120074172,1,15-JAN-20,1,"N",51,5,34,"M",2,2,"N","","",34,0
2020,36682783,120074173,1,14-JAN-20,1,"N",51,5,33,"M",2,2,"R","","",33,0
2020,36682701,120073969,1,30-JAN-20,1,"N",51,5,24,"M",2,2,"N","","",24,0
2020,36682717,120074030,1,30-JAN-20,2,"N",16,5,28,"M",2,2,"R","","",28,0
2020,38200280,123448347,1,28-FEB-20,3,"N",40,5,16,"M",2,2,"N","R","",16,0
2020,38200276,123448327,1,21-APR-20,1,"N",16,5,34,"M",2,2,"R","","",34,0
2020,38200283,123448351,3,27-APR-20,1,"N",51,5,15,"F",2,2,"R","R","",15,0
2020,38200281,123448351,1,27-APR-20,1,"N",51,5,16,"F",2,2,"R","R","",16,0
2020,38200282,123448351,2,27-APR-20,1,"N",51,5,15,"F",2,2,"R","R","",15,0
2020,38200295,123448378,1,20-APR-20,1,"N",51,5,42,"M",2,2,"N","","",42,0
2020,38200323,123448455,1,22-APR-20,2,"N",16,5,25,"M",2,2,"R","","",25,0
2020,38200314,123448426,1,29-MAR-20,1,"N",27,5,29,"M",2,3,"U","","",29,0
2020,38200315,123448428,1,28-MAR-20,1,"N",49,5,20,"M",2,2,"N","","",20,0
2020,38200319,123448434,1,30-MAR-20,1,"N",51,5,21,"F",2,2,"N","","",21,0
2020,38200320,123448436,1,31-MAR-20,1,"N",51,5,26,"M",2,3,"R","","",26,0
2020,38200321,123448438,1,28-MAR-20,1,"N",44,5,47,"M",2,2,"R","","",47,0
2020,38200286,123448363,1,27-APR-20,1,"N",51,5,14,"F",2,2,"R","R","",14,0
2020,38200299,123448388,1,24-APR-20,2,"N",16,5,25,"M",2,2,"R","","",25,0
2020,38200312,123448422,1,23-APR-20,3,"N",16,5,22,"M",2,2,"R","","",22,0
2020,38200313,123448424,1,23-APR-20,2,"N",16,5,20,"M",2,2,"N","","",20,0
2020,38200316,123448429,1,21-APR-20,1,"N",40,5,23,"M",2,2,"R","","",23,0
2020,38200318,123448432,1,29-MAR-20,2,"N",5,5,22,"M",2,2,"N","","",22,0
2020,38200322,123448442,1,22-APR-20,2,"N",16,5,28,"M",2,3,"N","","",28,0
2020,38200328,123448476,1,18-APR-20,1,"N",51,5,35,"M",2,2,"N","","",35,0
2020,38200329,123448476,2,18-APR-20,1,"N",51,5,40,"M",2,2,"R","","",40,0
2020,38200330,123448480,1,16-APR-20,1,"N",27,5,31,"F",2,2,"R","","",31,0
