"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2020,124074720,63,1,,137673719
2020,124068160,4,200,,137683868
2020,124068160,16,25,,137683869
2020,124068162,63,15,,137683871
2020,124068161,63,15,26-JAN-20,137683870
2020,126101437,10,,,140034558
2020,126101427,20,330,,140034544
2020,126101433,9,0,,140034552
2020,126101437,11,10,,140034557
2020,126101443,6,200,,140034563
2020,126101443,63,80,,140034564
2020,126101443,7,537,,140034562
2020,126101459,63,225,,140034575
2020,126101461,38,1000,,140034577
2020,126101467,38,375,,140034582
2020,122826742,63,20,,135939913
2020,122826628,10,,,135939783
2020,122826743,38,288,,135939914
2020,122826744,10,,,135939915
2020,122826745,4,90,,135939916
2020,122826742,21,22,,135939911
2020,122826742,25,20,,135939912
2020,122826742,23,350,,135939910
2020,122826741,23,350,17-JAN-20,135939909
2020,126101419,23,800,,140034528
2020,126101421,21,160,,140034535
2020,126101401,19,48,,140030071
2020,126101419,25,25,,140034530
2020,126101419,21,300,,140034529
2020,126101419,63,1,,140034531
2020,126101414,38,150,,140034521
2020,126101396,23,1000,,140034497
2020,126101406,10,,,140034513
2020,126101407,20,20,,140034514
2020,126101413,4,120,,140034520
2020,126101412,16,5,,140034519
2020,126101398,38,863,,140034500
2020,126101489,38,400,,140034610
2020,126101436,33,1000,,140034556
2020,126101438,38,500,,140034559
2020,126101450,26,200,,140034568
2020,126101493,8,8,19-MAR-20,140034617
2020,126101494,8,8,,140034618
2020,126101501,4,400,,140034624
2020,126101501,16,25,,140034625
2020,126101501,38,20,,140034626
2020,126101463,63,1500,,140034578
2020,126101466,26,159,,140034581
2020,126101469,19,2,,140034585
2020,126101469,63,1,,140034586
2020,126101469,9,0,,140034587
2020,126101469,25,10,,140034584
2020,126101484,23,1600,,140034605
2020,126101483,63,1,,140034604
2020,126101477,21,40,21-APR-20,140034596
2020,126101418,19,150,,140034526
2020,126101418,63,1,,140034527
2020,126101418,25,250,,140034525
2020,126101470,10,,,140034588
2020,126101478,21,40,,140034598
2020,126101478,25,50,,140034597
2020,126101481,31,500,,140034602
2020,126101485,38,200,,140034606
2020,126101486,63,500,,140034607
2020,126101487,10,,,140034608
2020,126101488,23,1000,,140034609
2020,126101495,16,10,,140034619
2020,126101496,4,200,,140034620
2020,126101506,23,500,05-MAR-20,140034631
2020,126101507,23,500,,140034632
2020,126101510,7,463,24-FEB-20,140034634
2020,126101511,7,463,,140034635
2020,130115654,38,300,,145116368
2020,126101519,38,100,,140034644
2020,126101516,9,0,,140034641
2020,126101516,63,1,,140034642
2020,126101516,25,15,,140034640
2020,126101524,63,50,,140034655
2020,126101525,38,1300,,140034656
2020,126101537,63,15,,140034675
2020,126101537,25,5,,140034676
2020,126101537,6,1,,140034677
2020,126101537,21,600,,140034674
2020,126101535,26,45,,140034671
2020,126101536,6,1,06-APR-20,140034673
2020,126101536,63,1,06-APR-20,140034672
2020,126101538,16,350,,140034678
2020,126101540,26,240,,140034679
2020,126101542,38,250,,140034681
2020,126101544,6,200,,140034683
2020,126101543,16,100,,140034682
2020,126101458,38,200,,140034574
2020,126101460,38,250,,140034576
2020,126101465,20,80,,140034580
2020,126101464,20,80,20-APR-20,140034579
2020,126101468,63,1000,,140034583
2020,126101473,23,1000,,140034590
2020,126101480,7,750,,140034601
2020,126101480,24,41755,,140034600
2020,126101479,24,41755,18-APR-20,140034599
2020,126101490,38,2400,,140034611
2020,126101491,47,0,,140034615
2020,126101491,25,62,,140034612
2020,126101491,21,6,,140034614
2020,126101491,63,45,,140034613
2020,126101492,38,10000,,140034616
2020,126101497,26,150,,140034621
