"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,5,124074719,,,13759382
2020,12,126101437,7,1,14407802
2020,5,126101437,7.2,1,14407801
2020,5,126101440,,,14407803
2020,5,126101449,,,14407805
2020,5,122826744,0.8,1,13384082
2020,11,126101406,4,9,14407796
2020,5,126101406,12.6,1,14407797
2020,5,126101498,,,14407809
2020,5,126101444,,,14407804
2020,11,126101470,0.6,1,14407806
2020,5,126101472,,,14407807
2020,5,126101487,1,1,14407808
2020,11,126101431,1,1,14407798
2020,5,122826628,0.6,1,13384058
2020,7,130113214,3,1,15130643
2020,5,130113214,2,1,15125915
2020,5,122826695,,,13384073
2020,5,124073633,,,13764408
2020,12,124073640,1,1,13764411
2020,11,124073640,1,1,13764409
2020,8,124073640,1,1,13764410
2020,5,125636474,,,14208773
2020,5,122826748,,,13384083
2020,5,127059707,,,14556046
2020,5,125639853,,,14212513
2020,5,122826749,,,13384084
2020,5,122826750,3.2,1,13384085
2020,5,125639855,259,1,14212514
2020,5,122826752,,,13384086
2020,5,122826753,,,13384087
2020,5,122826754,,,13384088
2020,10,122826755,1,9,13384089
2020,5,124068169,0.6,1,13759383
2020,5,124068170,1,1,13759384
2020,5,124068173,30,1,13759385
2020,5,124068180,,,13759386
2020,5,124068181,8,1,13759387
2020,5,122826649,4,1,13384060
2020,11,122826654,10,1,13384061
2020,11,122826663,1,1,13384062
2020,10,122826668,4.5,1,13384063
2020,11,122826699,3,1,13384075
2020,5,122826702,1,11,13384076
2020,5,122826703,1,11,13384077
2020,5,129373283,,,14975007
2020,10,129373247,0.125,7,14975001
2020,5,129377003,,,14975006
2020,4,129373256,1,11,14975003
2020,12,130113217,1,1,15130644
2020,5,130113229,,,15130645
2020,5,122826819,2.5,3,13384109
2020,5,122826820,,,13384110
2020,5,122826821,,,13384111
2020,5,122826822,1,1,13384112
2020,11,122826823,1,1,13384113
2020,8,122826827,1,9,13384114
2020,5,122826827,1,1,13384115
2020,5,122826828,,,13384116
2020,5,122826829,1,1,13384117
2020,5,122826830,,,13384118
2020,5,127059217,22.4,1,14556044
2020,5,127059661,8.3,3,14556038
2020,5,127059206,,,14556042
2020,11,125639856,1,1,14212515
2020,12,125639857,0.75,1,14212516
2020,5,125639858,0.01,1,14212517
2020,5,125639861,,,14212518
2020,5,125639866,,,14212519
2020,5,125639867,,,14212520
2020,5,125639869,,,14212521
2020,5,122826792,,,13384097
2020,5,122826793,,,13384098
2020,5,122826794,,,13384099
2020,12,122826795,1,1,13384100
2020,5,122826797,,,13384101
2020,5,122826800,8.4,1,13384102
2020,12,122826801,3,1,13384103
2020,4,122826805,1,11,13384104
2020,1,122826811,2,1,13384105
2020,5,122826813,,,13384106
2020,5,122826712,,,13384078
2020,5,122826722,,,13384079
2020,5,122826723,,,13384080
2020,5,122826739,,,13384081
2020,5,122826764,,,13384090
2020,5,122826766,,,13384091
2020,5,122826772,0.5,1,13384092
2020,1,122826774,3.2,1,13384094
2020,5,122826774,4.8,1,13384095
2020,10,122826774,1,7,13384093
2020,11,122826787,2,1,13384096
2020,5,122826814,0.1,1,13384107
2020,5,122826815,,,13384108
2020,5,122826671,3.2,1,13384064
2020,5,122826672,,,13384065
2020,5,122826674,,,13384066
2020,4,122826678,3,1,13384067
2020,5,122826679,0.8,1,13384068
2020,5,122826688,2,1,13384071
2020,2,122826689,1,1,13384072
2020,11,124068203,0.3,1,13759388
2020,5,124073766,,,13764459
2020,5,124073767,29.6,1,13764460
2020,11,124073768,4.25,1,13764461
2020,5,124073774,,,13764462
2020,5,124073775,,,13764463
2020,5,124073777,9.4,1,13764464
2020,5,124073778,6,1,13764465
2020,5,124073782,,,13764466
2020,5,124073783,,,13764467
2020,5,124073785,,,13764469
2020,5,124073786,,,13764470
2020,5,124073787,0.02,1,13764471
2020,5,124073788,0.8,1,13764472
2020,5,124073789,,,13764473
2020,5,124073790,,,13764474
2020,11,124073791,2,9,13764476
2020,2,124073791,1,11,13764475
2020,5,124073797,,,13764477
2020,5,124073798,1,1,13764478
2020,5,124073799,,,13764479
2020,11,124073800,1,1,13764480
2020,11,124073802,10,1,13764481
2020,4,124073805,1,1,13764482
2020,11,124073814,1,9,13764483
2020,11,122833831,5,1,13379432
2020,11,122833873,0.5,1,13379438
2020,5,122833875,,,13379439
2020,5,127059655,1,1,14556037
2020,5,127059681,1.9,1,14556040
2020,5,127059686,,,14556041
2020,5,122833836,,,13379433
2020,5,122833838,1,3,13379434
2020,5,122833847,,,13379435
2020,5,122833870,,,13379437
2020,11,122833883,1,1,13379440
2020,5,122833905,,,13379441
2020,2,122833917,0.1,1,13379444
2020,5,122833920,,,13379445
2020,5,122833921,,,13379446
2020,5,122833923,0.6,1,13379447
2020,5,124073760,1,1,13764454
2020,8,124073760,1,1,13764456
2020,11,124073760,1,1,13764455
2020,12,124073764,1,11,13764458
2020,5,124073764,1,11,13764457
