"DATA_YEAR","VICTIM_ID","INCIDENT_ID","VICTIM_SEQ_NUM","VICTIM_TYPE_ID","ASSIGNMENT_TYPE_ID","ACTIVITY_TYPE_ID","OUTSIDE_AGENCY_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_STATUS_CODE","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,133324611,121535890,1,8,,,,,,"",,,"",,
2020,133324612,121535891,1,3,,,,,,"",,,"",,
2020,133333796,121551727,1,4,,,,5,49,"F",1,1,"R",49,0
2020,133333798,121551729,1,4,,,,5,49,"M",2,2,"N",49,0
2020,133333800,121551731,1,4,,,,5,32,"M",1,2,"R",32,0
2020,133333801,121551732,1,4,,,,5,33,"M",2,2,"N",33,0
2020,135520459,123448349,1,4,,,,5,44,"M",1,2,"R",44,0
2020,135520471,123448360,1,4,,,,5,54,"M",2,2,"N",54,0
2020,135520476,123448364,1,4,,,,5,27,"M",2,2,"R",27,0
2020,135520485,123448372,1,4,,,,5,63,"M",2,2,"R",63,0
2020,135520493,123448379,1,8,,,,,,"",,,"",,
2020,135520496,123448382,1,8,,,,,,"",,,"",,
2020,135520499,123448385,1,4,,,,5,40,"M",2,2,"R",40,0
2020,135520508,123448394,1,8,,,,,,"",,,"",,
2020,135520515,123448401,1,4,,,,5,18,"M",2,2,"N",18,0
2020,135520519,123448405,1,4,,,,5,56,"M",2,2,"R",56,0
2020,135520521,123448407,1,3,,,,,,"",,,"",,
2020,135520524,123448410,1,4,,,,5,37,"F",1,2,"R",37,0
2020,135520526,123448412,1,4,,,,5,37,"F",1,2,"N",37,0
2020,135520529,123448415,1,4,,,,5,40,"F",2,2,"R",40,0
2020,135520532,123448418,1,3,,,,,,"",,,"",,
2020,135520583,123448464,1,4,,,,5,18,"M",2,2,"R",18,0
2020,135520438,123448329,1,4,,,,5,14,"M",2,3,"R",14,0
2020,135520443,123448334,1,4,,,,5,13,"F",2,2,"R",13,0
2020,131683836,120074161,1,4,,,,5,31,"M",1,2,"R",31,0
2020,131683837,120074162,1,1,,,,,,"",,,"",,
2020,131683838,120074163,1,4,,,,5,25,"F",2,2,"R",25,0
2020,131683841,120074165,2,5,1,11,,5,24,"M",1,2,"R",24,0
2020,131683840,120074165,1,5,1,11,,5,26,"M",1,2,"R",26,0
2020,131683842,120074166,1,4,,,,5,27,"F",2,2,"N",27,0
2020,131683843,120074167,1,4,,,,5,25,"F",1,2,"R",25,0
2020,131683844,120074168,1,8,,,,,,"",,,"",,
2020,131683846,120074170,1,4,,,,5,17,"M",3,2,"N",17,0
2020,131683848,120074172,1,4,,,,5,29,"F",1,1,"N",29,0
2020,131683849,120074173,1,4,,,,5,41,"M",1,2,"N",41,0
2020,131683850,120074174,1,4,,,,5,20,"F",2,2,"N",20,0
2020,131683622,120073969,1,5,7,11,,5,30,"F",2,2,"N",30,0
2020,131683688,120074030,1,8,,,,,,"",,,"",,
2020,135520460,123448350,1,4,,,,5,76,"F",1,2,"R",76,0
2020,135520409,123448301,1,4,,,,5,54,"F",2,2,"N",54,0
2020,135520430,123448321,1,4,,,,5,63,"F",2,3,"N",63,0
2020,135520457,123448347,1,4,,,,5,43,"M",2,2,"R",43,0
2020,135520421,123448312,1,4,,,,5,34,"M",1,1,"R",34,0
2020,135520436,123448327,1,8,,,,,,"",,,"",,
2020,137765624,125431252,1,4,,,,5,42,"M",2,2,"R",42,0
2020,137773097,125431252,2,4,,,,5,32,"M",2,2,"R",32,0
2020,137773102,125431256,2,4,,,,5,54,"M",1,2,"R",54,0
2020,137773099,125431256,1,4,,,,5,50,"F",1,2,"R",50,0
2020,135520437,123448328,1,4,,,,5,20,"F",4,2,"N",20,0
2020,135520445,123448336,1,4,,,,5,20,"M",1,1,"R",20,0
2020,135520450,123448341,1,1,,,,,,"",,,"",,
2020,135520461,123448351,1,4,,,,5,35,"F",2,2,"N",35,0
2020,135520425,123448316,1,3,,,,,,"",,,"",,
2020,135520419,123448310,1,4,,,,5,18,"M",1,1,"R",18,0
2020,135520479,123448367,1,4,,,,5,40,"F",2,3,"R",40,0
2020,135520492,123448378,2,3,,,,,,"",,,"",,
2020,135520491,123448378,1,4,,,,5,60,"M",1,1,"R",60,0
2020,135520494,123448380,1,4,,,,5,38,"M",1,2,"N",38,0
2020,135520500,123448386,1,4,,,,5,59,"F",2,2,"N",59,0
2020,135520501,123448387,1,4,,,,5,41,"F",2,3,"N",41,0
2020,135520507,123448393,1,4,,,,5,36,"M",2,2,"R",36,0
2020,135520510,123448396,1,4,,,,5,17,"M",1,1,"R",17,0
2020,135520517,123448403,1,4,,,,5,13,"M",2,2,"N",13,0
2020,135520563,123448444,1,3,,,,,,"",,,"",,
2020,135520567,123448448,1,4,,,,5,15,"M",2,2,"R",15,0
2020,135520569,123448450,1,4,,,,5,52,"M",2,2,"N",52,0
2020,135520572,123448453,1,4,,,,5,38,"M",1,3,"R",38,0
2020,135520574,123448455,1,8,,,,,,"",,,"",,
2020,135520577,123448458,1,4,,,,5,32,"M",1,2,"R",32,0
2020,135520581,123448462,1,4,,,,5,16,"F",2,2,"R",16,0
2020,135520522,123448408,1,4,,,,5,40,"M",1,2,"N",40,0
2020,135520523,123448409,1,4,,,,5,56,"M",1,1,"R",56,0
2020,135520527,123448413,1,3,,,,,,"",,,"",,
2020,135520530,123448416,1,4,,,,5,21,"M",1,2,"R",21,0
2020,135520533,123448419,1,4,,,,5,19,"F",2,2,"R",19,0
2020,135520535,123448421,1,4,,,,5,33,"M",1,2,"R",33,0
2020,135520540,123448426,1,4,,,,5,30,"M",2,3,"N",30,0
2020,135520543,123448428,1,3,,,,,,"",,,"",,
2020,135520551,123448434,2,4,,,,5,58,"M",2,2,"R",58,0
2020,135520550,123448434,1,4,,,,5,59,"M",2,2,"N",59,0
2020,135520553,123448436,1,4,,,,5,21,"F",2,2,"N",21,0
2020,135520555,123448438,1,4,,,,5,60,"M",2,2,"R",60,0
2020,140601236,128080012,1,3,,,,,,"",,,"",,
2020,135520429,123448320,1,4,,,,5,52,"F",2,2,"N",52,0
2020,135520456,123448346,1,4,,,,5,39,"F",2,2,"N",39,0
2020,135520474,123448363,1,5,7,11,,5,28,"M",1,1,"N",21,35
2020,135520475,123448363,2,5,3,11,,5,42,"M",2,2,"U",35,50
2020,135520483,123448371,1,4,,,,5,43,"F",1,2,"N",43,0
2020,135520484,123448371,2,4,,,,5,11,"M",1,2,"N",11,0
2020,135520490,123448377,1,4,,,,5,17,"M",2,2,"R",17,0
2020,135520502,123448388,1,8,,,,,,"",,,"",,
2020,135520505,123448391,1,4,,,,5,16,"F",2,2,"R",16,0
2020,135520536,123448422,1,8,,,,,,"",,,"",,
2020,135520538,123448424,1,8,,,,,,"",,,"",,
2020,135520544,123448429,1,4,,,,5,20,"F",2,2,"N",20,0
2020,135520548,123448432,1,3,,,,,,"",,,"",,
2020,135520554,123448437,1,4,,,,5,48,"F",2,2,"N",48,0
2020,135520559,123448440,1,4,,,,5,23,"F",2,2,"R",23,0
2020,135520560,123448441,1,3,,,,,,"",,,"",,
2020,135520561,123448442,1,8,,,,,,"",,,"",,
2020,135520562,123448443,1,4,,,,5,30,"M",1,2,"R",30,0
2020,135520565,123448446,1,4,,,,5,45,"M",2,3,"U",40,50
2020,135520570,123448451,1,4,,,,5,22,"M",1,3,"R",22,0
2020,135520584,123448465,1,4,,,,5,50,"F",1,2,"N",50,0
2020,135520587,123448468,1,4,,,,5,18,"M",2,2,"R",18,0
2020,135520599,123448476,2,4,,,,5,35,"M",2,2,"N",35,0
2020,135520598,123448476,1,4,,,,5,40,"M",2,2,"R",40,0
2020,135520600,123448477,1,4,,,,5,70,"M",2,2,"R",70,0
2020,135520603,123448480,1,4,,,,5,29,"F",2,2,"R",29,0
2020,135520604,123448481,1,4,,,,5,37,"M",2,2,"N",37,0
2020,135520605,123448482,1,1,,,,,,"",,,"",,
2020,135520609,123448486,1,3,,,,,,"",,,"",,
2020,135520611,123448487,2,5,7,11,,5,40,"M",2,2,"N",40,0
2020,135520610,123448487,1,3,,,,,,"",,,"",,
2020,135520624,123448500,1,4,,,,5,55,"F",2,2,"R",55,0
