"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2020,133333796,138171626,24,42208312
2020,133333798,138171630,24,42208318
2020,133333798,138171629,24,42208317
2020,133333798,138171631,24,42208319
2020,133333801,138171636,24,42208321
2020,133333801,138171635,24,42208320
2020,135520459,140437506,24,43207894
2020,135520471,140437523,24,43207909
2020,135520476,140437528,1,43207914
2020,135520476,140437527,1,43207913
2020,135520476,140437530,1,43207916
2020,135520476,140437529,1,43207915
2020,135520499,140437561,18,43207938
2020,135520515,140437586,24,43207954
2020,135520515,140437585,24,43207953
2020,135520515,140437587,24,43207955
2020,135520519,140437598,24,43207966
2020,135520524,140437605,3,43207971
2020,135520529,140437613,24,43207976
2020,135520529,140437614,24,43207972
2020,135520529,140437611,24,43207974
2020,135520529,140437612,24,43207975
2020,135520529,140437615,24,43207973
2020,135520583,140437684,24,43208028
2020,135520438,140437481,24,43207873
2020,135520443,140437487,24,43207877
2020,131683841,136505035,24,41461310
2020,131683838,136505033,3,41461307
2020,131683836,136505031,24,41461306
2020,131683836,136505030,24,41461305
2020,131683840,136505035,24,41461309
2020,131683842,136505036,24,41461311
2020,131683843,136505037,24,41461312
2020,131683848,136505042,24,41461314
2020,131683849,136505043,24,41461315
2020,131683850,136505044,24,41461316
2020,135520409,140437446,24,43207850
2020,135520457,140437504,24,43207891
2020,135520457,140437503,24,43207892
2020,131683622,136489750,24,41461119
2020,135520461,140437510,24,43207897
2020,135520461,140437509,24,43207896
2020,135520461,140437508,24,43207895
2020,135520419,140437457,24,43207860
2020,135520419,140437459,24,43207861
2020,135520479,140437538,24,43207924
2020,135520491,140437552,24,43207934
2020,135520500,140437562,24,43207939
2020,135520501,140437563,24,43207940
2020,135520507,140437572,24,43207946
2020,135520517,140437594,24,43207962
2020,135520517,140437592,16,43207960
2020,135520517,140437593,16,43207961
2020,135520517,140437595,24,43207963
2020,135520517,140437596,24,43207964
2020,135520567,140437661,24,43208015
2020,135520569,140437665,24,43208018
2020,135520569,140437663,24,43208016
2020,135520569,140437664,24,43208017
2020,135520572,140437669,24,43208021
2020,135520581,140437681,24,43208026
2020,135520522,140437603,24,43207969
2020,135520522,140437602,24,43207968
2020,135520522,140437601,24,43207967
2020,135520523,140437604,24,43207970
2020,135520530,140437617,18,43207978
2020,135520530,140437618,18,43207979
2020,135520530,140437616,18,43207977
2020,135520533,140437621,24,43207981
2020,135520535,140437624,24,43207983
2020,135520535,140437623,24,43207982
2020,135520540,140437633,24,43207989
2020,135520550,140437642,24,43207994
2020,135520553,140437644,24,43207996
2020,135520555,140437646,24,43207997
2020,135520429,140433018,24,43207865
2020,135520474,140437526,24,43207911
2020,135520475,140437526,24,43207912
2020,135520483,140437543,24,43207926
2020,135520483,140437542,24,43207925
2020,135520484,140437543,24,43207928
2020,135520484,140437542,24,43207927
2020,135520490,140437551,18,43207933
2020,135520490,140437550,18,43207932
2020,135520490,140437549,18,43207930
2020,135520505,140437570,24,43207945
2020,135520544,140437636,3,43207990
2020,135520559,140437651,21,43208010
2020,135520562,140437655,24,43208012
2020,135520562,140437654,24,43208011
2020,135520562,140437656,24,43208013
2020,135520565,140437659,24,43208014
2020,135520587,140437686,24,43208030
2020,135520599,140437699,24,43208039
2020,135520599,140437698,25,43208040
2020,135520598,140437698,24,43208037
2020,135520598,140437699,25,43208038
2020,135520603,140437703,1,43208042
2020,135520604,140437704,24,43208043
2020,135520611,140437710,24,43208044
2020,135520611,140437711,24,43208045
2020,135520624,140437726,24,43208056
2020,135520625,140437727,24,43208057
2020,135520625,140437728,24,43208058
2020,135520626,140437729,24,43208059
2020,135520627,140437730,24,43208060
2020,135520628,140437731,24,43208061
2020,135520629,140437732,24,43208062
2020,135520631,140437733,24,43208063
2020,135520635,140437738,24,43208066
2020,135520636,140437739,24,43208067
2020,135520638,140437741,24,43208069
2020,135520518,140437597,24,43207965
2020,135520539,140437631,24,43207987
2020,135520539,140437632,24,43207988
2020,135520539,140437629,24,43207985
2020,135520539,140437628,24,43207984
2020,135520539,140437630,24,43207986
2020,135520545,140437637,24,43207991
2020,135520547,140437638,24,43207993
2020,135520546,140437638,24,43207992
2020,135520552,140437643,24,43207995
2020,135520558,140437647,1,43208006
2020,135520558,140437649,1,43208008
2020,135520558,140437650,16,43208009
2020,135520558,140437648,1,43208007
2020,135520557,140437648,1,43208003
2020,135520557,140437649,1,43208004
2020,135520557,140437650,16,43208005
2020,135520557,140437647,1,43208002
2020,135520556,140437650,16,43208001
2020,135520556,140437648,1,43207999
2020,135520556,140437649,1,43208000
2020,135520556,140437647,1,43207998
2020,135520571,140437667,24,43208019
2020,135520571,140437668,24,43208020
2020,135520642,140437745,24,43208072
2020,135520417,140437456,24,43207858
2020,135520442,140437486,24,43207876
2020,135520469,140437519,24,43207905
2020,135520472,140437524,24,43207910
