"DATA_YEAR","AGENCY_ID","INCIDENT_ID","NIBRS_MONTH_ID","CARGO_THEFT_FLAG","SUBMISSION_DATE","INCIDENT_DATE","REPORT_DATE_FLAG","INCIDENT_HOUR","CLEARED_EXCEPT_ID","CLEARED_EXCEPT_DATE","INCIDENT_STATUS","DATA_HOME","ORIG_FORMAT","DID"
2020,2244,121535890,8508016,"",05-MAR-20,27-FEB-20,"",14,6,,0,"C","F",67779129
2020,2244,121535891,8508016,"",05-MAR-20,22-FEB-20,"",14,6,,0,"C","F",67766520
2020,2244,121551727,8482073,"",05-MAR-20,30-JAN-20,"",14,6,,0,"C","F",67779132
2020,2244,121551729,8482073,"",05-MAR-20,23-JAN-20,"",17,5,21-FEB-20,0,"C","F",67779133
2020,2244,121551731,8482073,"N",05-MAR-20,30-JAN-20,"R",,6,,0,"C","F",67779142
2020,2244,121551732,8482073,"N",05-MAR-20,26-JAN-20,"",1,6,,0,"C","F",67779144
2020,2244,123448349,8569524,"",06-MAY-20,03-MAR-20,"",7,2,20-APR-20,0,"C","F",71922802
2020,2244,123448360,8508016,"",06-MAY-20,28-FEB-20,"",13,6,,0,"C","F",71922818
2020,2244,123448364,8499255,"N",06-MAY-20,19-APR-20,"",15,6,,0,"C","F",71922828
2020,2244,123448372,8569524,"N",06-MAY-20,08-MAR-20,"",12,6,,0,"C","F",71922842
2020,2244,123448379,8499255,"",06-MAY-20,22-APR-20,"",17,6,,0,"C","F",71922855
2020,2244,123448382,8499255,"",06-MAY-20,27-APR-20,"R",,6,,0,"C","F",71922861
2020,2244,123448385,8482073,"N",06-MAY-20,11-JAN-20,"",21,6,,0,"C","F",71922863
2020,2244,123448394,8499255,"",06-MAY-20,24-APR-20,"",8,6,,0,"C","F",71922882
2020,2244,123448401,8482073,"N",06-MAY-20,26-JAN-20,"",19,6,,0,"C","F",71922898
2020,2244,123448405,8508016,"",06-MAY-20,04-FEB-20,"",15,2,13-APR-20,0,"C","F",71922904
2020,2244,123448407,8569524,"",06-MAY-20,26-MAR-20,"",11,6,,0,"C","F",71922908
2020,2244,123448410,8569524,"",06-MAY-20,30-MAR-20,"",9,6,,0,"C","F",71922912
2020,2244,123448412,8508016,"N",06-MAY-20,27-FEB-20,"R",,6,,0,"C","F",71922916
2020,2244,123448415,8508016,"",06-MAY-20,14-FEB-20,"R",,6,,0,"C","F",71922922
2020,2244,123448418,8499255,"",06-MAY-20,17-APR-20,"",13,6,,0,"C","F",71922924
2020,2244,123448464,8508016,"",06-MAY-20,15-FEB-20,"",0,6,,0,"C","F",71923001
2020,2244,123448329,8508016,"",06-MAY-20,21-FEB-20,"",20,6,,0,"C","F",71922770
2020,2244,123448334,8482073,"",06-MAY-20,06-JAN-20,"",16,6,,0,"C","F",71922782
2020,2244,120074161,8482073,"N",05-FEB-20,17-JAN-20,"",19,6,,0,"C","F",64697014
2020,2244,120074162,8482073,"",05-FEB-20,16-JAN-20,"",14,6,,0,"C","F",64697016
2020,2244,120074163,8482073,"",05-FEB-20,15-JAN-20,"",13,6,,0,"C","F",64697017
2020,2244,120074165,8482073,"",05-FEB-20,16-JAN-20,"",17,6,,0,"C","F",64697022
2020,2244,120074166,8482073,"",05-FEB-20,16-JAN-20,"",21,6,,0,"C","F",64697023
2020,2244,120074167,8482073,"",05-FEB-20,10-JAN-20,"",7,6,,0,"C","F",64697024
2020,2244,120074168,8482073,"",05-FEB-20,15-JAN-20,"",15,6,,0,"C","F",64697026
2020,2244,120074170,8482073,"N",05-FEB-20,13-JAN-20,"R",,6,,0,"C","F",64697056
2020,2244,120074172,8482073,"",05-FEB-20,15-JAN-20,"",7,6,,0,"C","F",64697058
2020,2244,120074173,8482073,"",05-FEB-20,14-JAN-20,"",15,6,,0,"C","F",64697059
2020,2244,120074174,8482073,"",05-FEB-20,10-JAN-20,"R",,4,10-JAN-20,0,"C","F",64697064
2020,2244,120073969,8482073,"",05-FEB-20,30-JAN-20,"",14,6,,0,"C","F",64671499
2020,2244,120074030,8482073,"",05-FEB-20,30-JAN-20,"",14,6,,0,"C","F",64696660
2020,2244,123448350,8482073,"N",06-MAY-20,01-JAN-20,"",14,6,,0,"C","F",71922808
2020,2244,123448301,8569524,"",06-MAY-20,28-MAR-20,"",11,6,,0,"C","F",71922699
2020,2244,123448321,8482073,"N",06-MAY-20,13-JAN-20,"",14,2,24-APR-20,0,"C","F",71922750
2020,2244,123448347,8482073,"N",06-MAY-20,11-JAN-20,"R",,5,28-JAN-20,0,"C","F",71922796
2020,2244,123448312,8569524,"",06-MAY-20,19-MAR-20,"",18,6,,0,"C","F",71922735
2020,2244,123448327,8499255,"",06-MAY-20,21-APR-20,"",20,6,,0,"C","F",71922766
2020,2244,125431252,8480505,"",06-JUL-20,12-MAY-20,"",6,4,12-MAY-20,0,"C","F",76006954
2020,2244,125431256,8508016,"",06-JUL-20,19-FEB-20,"",18,2,27-MAY-20,0,"C","F",76006951
2020,2244,123448328,8482073,"N",06-MAY-20,19-JAN-20,"R",,2,28-APR-20,0,"C","F",71922771
2020,2244,123448336,8499255,"N",06-MAY-20,28-APR-20,"R",,6,,0,"C","F",71922780
2020,2244,123448341,8499255,"",06-MAY-20,23-APR-20,"",23,6,,0,"C","F",71922792
2020,2244,123448351,8499255,"",06-MAY-20,27-APR-20,"",16,6,,0,"C","F",71922806
2020,2244,123448316,8508016,"",06-MAY-20,27-FEB-20,"",16,6,,0,"C","F",71922743
2020,2244,123448310,8482073,"",06-MAY-20,05-JAN-20,"",16,2,24-APR-20,0,"C","F",71922725
2020,2244,123448367,8508016,"",06-MAY-20,20-FEB-20,"",16,6,,0,"C","F",71922831
2020,2244,123448378,8499255,"",06-MAY-20,20-APR-20,"",15,6,,0,"C","F",71922852
2020,2244,123448380,8569524,"",06-MAY-20,20-MAR-20,"",16,6,,0,"C","F",71922858
