data_year,criminal_act_id,offense_id
2021,6,171760181
2021,9,173504258
2021,9,171765413
2021,9,176058725
2021,9,173507083
2021,9,180877452
2021,9,179285555
2021,9,179285556
2021,9,173504413
2021,9,173505515
2021,9,173504082
2021,9,173504629
2021,9,173504087
2021,9,173504384
2021,8,173504007
2021,9,173503992
2021,9,176044120
2021,9,173503878
2021,9,176044614
2021,9,176044470
2021,9,176044111
2021,9,176044564
2021,9,176044683
2021,9,173503953
2021,9,176044758
2021,9,176049956
2021,9,176044127
2021,9,176044343
2021,9,176044202
2021,9,176044270
2021,9,176044523
2021,9,176044598
2021,9,176044167
2021,6,176044579
2021,9,176044580
2021,9,176049195
2021,9,176044667
2021,6,176044274
2021,6,176044332
2021,6,176044333
2021,6,176044334
2021,9,173505314
2021,9,176044966
2021,9,173503971
2021,6,179285998
2021,9,176044434
2021,6,176050164
2021,9,176044566
2021,9,176044104
2021,9,176044458
2021,10,176044338
2021,9,176044247
2021,9,176044500
2021,6,176049692
2021,6,179285777
2021,9,176044657
2021,9,176044648
2021,9,176049894
2021,6,176044402
2021,9,176044219
2021,9,176044416
2021,9,176044115
2021,9,176044174
2021,9,176044264
2021,9,176044757
2021,6,176050186
2021,9,176044359
2021,6,176044385
2021,9,176044568
2021,9,176044208
2021,9,176044266
2021,9,176044575
2021,9,176044890
2021,9,176044408
2021,9,176049251
2021,9,176049682
2021,9,176044944
2021,9,176049829
2021,9,176049830
2021,9,176050187
2021,9,176044312
2021,9,176049860
2021,9,176050182
2021,6,176044302
2021,9,176044153
2021,9,176045083
2021,6,176049595
2021,9,176049800
2021,9,176044498
2021,9,176044342
2021,9,176044824
2021,9,176049709
2021,9,176044516
2021,9,174589293
2021,9,176044449
2021,6,176044390
2021,9,176044169
2021,8,176044172
2021,9,176049272
2021,6,176045230
2021,9,179285535
2021,6,176050218
2021,9,176044243
2021,9,176045064
2021,9,176044724
2021,9,176044726
2021,5,176044168
2021,9,176045278
2021,9,176044619
2021,9,179286427
2021,9,176044205
2021,9,176049881
2021,9,176044849
2021,9,176044319
2021,6,176044210
2021,9,176050117
2021,9,179286251
2021,9,176045693
2021,9,176044235
2021,9,176044535
2021,9,176044607
2021,3,176044136
2021,9,176044433
2021,9,176044937
2021,9,176049818
2021,9,173504267
2021,9,176044468
2021,9,176044737
2021,6,174589370
2021,9,176045062
2021,9,176044317
2021,9,176044298
2021,9,176044345
2021,9,176044349
2021,9,176044442
2021,9,176049173
2021,9,173503911
2021,9,176049166
2021,9,176044313
2021,9,176044190
2021,9,176044572
2021,9,176044362
2021,9,176049687
2021,6,176044650
2021,9,173505158
2021,9,176045120
2021,9,176044278
2021,9,176045144
2021,9,176044560
2021,9,173504109
2021,6,176050226
2021,9,176050227
2021,6,176045034
2021,6,176045035
2021,9,176049941
2021,9,176050219
2021,9,176049320
2021,9,176050068
2021,9,176049874
2021,9,176049789
2021,9,176044227
2021,9,176044532
2021,9,176044236
2021,6,176044289
2021,9,176045318
2021,9,176044376
2021,9,176045038
2021,9,176049811
2021,9,176044521
2021,3,176044508
2021,6,176044508
2021,6,176044370
2021,9,176044307
2021,9,176044224
2021,9,176044723
2021,9,179285286
2021,9,176044195
2021,9,176045084
2021,9,176044304
2021,6,174589432
2021,7,174589432
2021,6,174589433
2021,8,174589433
2021,6,176044828
2021,6,176049683
2021,9,176049711
2021,9,176045698
2021,3,176044267
2021,9,176044268
2021,6,176044214
2021,9,176044197
2021,6,176044459
2021,9,176044297
2021,9,176044124
2021,9,176044288
2021,9,176044423
2021,9,176049672
2021,9,176044286
2021,9,176049822
2021,9,176044125
2021,9,176044320
2021,6,176044856
2021,9,176044215
2021,9,176044811
2021,6,176049915
2021,9,176044577
2021,9,179286933
2021,6,176049963
2021,9,176044649
2021,6,174591146
2021,6,174591147
2021,9,176044201
2021,9,176044455
2021,9,176044413
2021,9,176049934
2021,6,176044533
2021,9,176049993
2021,9,173505203
2021,9,176044486
2021,9,176049648
2021,9,176044102
2021,9,176044269
2021,6,176044663
2021,9,176044538
2021,3,171760789
2021,6,171760789
2021,9,171760790
2021,9,176044505
2021,9,176044499
2021,9,176050061
2021,9,179285651
2021,9,176044263
2021,9,176049727
2021,9,176044697
2021,6,176044823
2021,9,173504255
2021,9,174589879
2021,9,176045245
2021,9,176044200
2021,9,176044175
2021,9,176044588
2021,6,176044323
2021,9,176044365
2021,6,179285696
2021,9,176044510
