data_year,offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,age_range_low_num,age_range_high_num
2021,169855306,149547375,1,45,42,U,98,40,25,60
2021,162421681,142965023,1,59,56,M,20,20,56,
2021,164139145,144489123,0,104,NS,X,99,50,,
2021,164135021,144485545,1,103,00,U,98,40,,
2021,164135022,144485545,2,103,00,U,98,40,,
2021,166640539,146702777,0,104,NS,X,99,50,,
2021,164134377,144484977,1,41,38,F,20,20,38,
2021,162426755,142969406,0,104,NS,X,99,50,,
2021,166645883,146707437,0,104,NS,X,99,50,,
2021,166653250,146713852,0,104,NS,X,99,50,,
2021,164137154,144487407,1,19,16,M,20,40,16,
2021,166646907,146708345,0,104,NS,X,99,50,,
2021,164140378,144490181,0,104,NS,X,99,50,,
2021,171401010,150921421,1,26,23,M,40,40,23,
2021,162424099,142967079,0,104,NS,X,99,50,,
2021,169849694,149542749,1,32,29,M,20,20,18,40
2021,169849695,149542749,2,103,00,U,98,40,,
2021,162422356,142965565,0,104,NS,X,99,50,,
2021,166639496,146701890,0,104,NS,X,99,50,,
2021,164134515,144485097,1,23,20,M,10,10,20,
2021,164135594,144486050,0,104,NS,X,99,50,,
2021,165206639,145432401,2,27,24,M,20,20,24,
2021,169850685,149543554,1,103,00,U,98,40,,
2021,169850686,149543554,2,103,00,U,98,40,,
2021,164134223,144484827,1,48,45,M,20,20,45,
2021,164134054,144484675,0,104,NS,X,99,50,,
2021,166644776,146706502,0,104,NS,X,99,50,,
2021,166639253,146701675,0,104,NS,X,99,50,,
2021,164134719,144485279,1,27,24,M,20,40,24,
2021,166639437,146701836,0,104,NS,X,99,50,,
2021,164134228,144484832,1,30,27,M,20,20,27,
2021,164134491,144485075,1,32,29,M,20,20,29,
2021,164134151,144484765,0,104,NS,X,99,50,,
2021,164134137,144484755,1,23,20,M,20,20,17,23
2021,164134138,144484755,2,23,20,F,20,20,17,23
2021,164134139,144484755,3,23,20,M,20,20,17,23
2021,166638997,146701459,0,104,NS,X,99,50,,
2021,166639511,146701904,1,38,35,M,98,10,35,
2021,164134036,144484659,0,104,NS,X,99,50,,
2021,166644882,146706592,0,104,NS,X,99,50,,
2021,166639927,146702260,1,61,58,U,98,40,20,97
2021,166639494,146701888,0,104,NS,X,99,50,,
2021,166639487,146701882,1,27,24,F,20,20,24,
2021,166639438,146701837,0,104,NS,X,99,50,,
2021,166639286,146701705,0,104,NS,X,99,50,,
2021,166639319,146701733,1,28,25,F,98,10,25,
2021,166639355,146701762,1,22,19,M,20,40,19,
2021,166639018,146701477,0,104,NS,X,99,50,,
2021,166640146,146702451,0,104,NS,X,99,50,,
2021,171401017,150921427,1,36,33,F,10,20,33,
2021,166639498,146701892,1,27,24,M,20,40,21,28
2021,166638987,146701451,1,33,30,F,20,20,30,
2021,166639445,146701843,1,26,23,M,20,20,23,
2021,166639340,146701752,0,104,NS,X,99,50,,
2021,164134045,144484666,0,104,NS,X,99,50,,
2021,166639560,146701943,1,21,18,F,20,20,18,
2021,166639176,146701613,0,104,NS,X,99,50,,
2021,164134104,144484722,1,43,40,M,20,40,40,
2021,166639389,146701792,1,103,00,M,20,40,,
2021,166639628,146702005,1,35,32,M,20,40,32,
2021,171401135,150921526,1,38,35,M,20,40,35,
2021,166644762,146706493,1,53,50,M,20,20,50,
2021,166639004,146701464,0,104,NS,X,99,50,,
2021,166639226,146701652,0,104,NS,X,99,50,,
2021,166638983,146701448,1,33,30,M,98,10,20,40
2021,166639170,146701607,0,104,NS,X,99,50,,
2021,166644557,146706309,0,104,NS,X,99,50,,
2021,166639081,146701532,0,104,NS,X,99,50,,
2021,166639151,146701589,1,43,40,F,20,40,40,
2021,166639407,146701810,1,62,59,M,20,20,59,
2021,169850156,149543120,0,104,NS,X,99,50,,
2021,166639473,146701869,1,25,22,M,20,40,22,
2021,166639735,146702095,1,38,35,M,10,10,35,
2021,165207076,145432769,1,28,25,M,20,40,10,40
2021,166639044,146701499,1,23,20,F,20,20,20,
2021,166639326,146701740,1,38,35,M,20,20,35,
2021,166639459,146701856,1,52,49,M,20,40,49,
2021,166639114,146701558,0,104,NS,X,99,50,,
2021,166643998,146705840,1,58,55,F,20,40,55,
2021,166639296,146701714,1,27,24,M,20,40,19,29
2021,166639548,146701932,1,27,24,F,20,40,24,
2021,166639182,146701619,1,61,58,U,98,40,18,99
2021,166639155,146701593,1,44,41,M,20,20,41,
2021,166640627,146702856,0,104,NS,X,99,50,,
2021,166639068,146701522,0,104,NS,X,99,50,,
2021,166639255,146701677,0,104,NS,X,99,50,,
2021,166639230,146701655,0,104,NS,X,99,50,,
2021,166644674,146706412,0,104,NS,X,99,50,,
2021,166639214,146701644,1,46,43,M,20,20,43,
2021,166639468,146701864,0,104,NS,X,99,50,,
2021,164135392,144485869,1,26,23,M,20,20,23,
2021,166639842,146702184,1,24,21,M,20,40,18,25
2021,166639843,146702184,2,24,21,M,20,40,18,25
2021,166639844,146702184,3,24,21,M,20,40,18,25
2021,166639359,146701766,1,29,26,M,20,40,24,29
2021,164134398,144484998,0,104,NS,X,99,50,,
2021,166639401,146701804,0,104,NS,X,99,50,,
2021,164134120,144484738,0,104,NS,X,99,50,,
2021,166639403,146701805,0,104,NS,X,99,50,,
2021,166640642,146702870,1,34,31,M,20,20,31,
2021,169850114,149543087,1,25,22,M,20,20,20,25
2021,169850115,149543087,2,25,22,M,20,20,20,25
2021,166639316,146701731,1,103,00,M,20,40,,
2021,166639317,146701731,2,103,00,M,20,40,,
2021,166639919,146702254,1,103,00,U,98,40,,
2021,166639920,146702254,2,103,00,U,98,40,,
2021,166639921,146702254,3,103,00,U,98,40,,
2021,165206938,145432650,1,103,00,U,98,40,,
2021,165206939,145432650,2,43,40,M,20,20,36,44
2021,166644945,146706651,1,26,23,M,20,20,23,
2021,166639489,146701884,0,104,NS,X,99,50,,
2021,166639447,146701845,1,26,23,M,98,40,23,
2021,166638980,146701445,1,46,43,M,20,20,43,
2021,166639341,146701749,1,31,28,F,20,40,28,
2021,166639217,146701647,1,20,17,M,10,10,15,19
2021,166639218,146701647,2,20,17,M,10,10,15,20
2021,166639219,146701647,3,20,17,M,10,10,15,20
2021,166639220,146701647,4,20,17,M,10,10,15,20
2021,166639221,146701647,5,103,00,U,98,40,,
2021,165206554,145432330,1,20,17,M,98,40,16,18
2021,165206555,145432330,2,20,17,M,98,40,16,18
2021,165206556,145432330,3,20,17,M,98,40,16,18
2021,165206557,145432330,4,20,17,M,98,40,16,18
2021,165206558,145432330,5,25,22,M,98,40,19,25
2021,166638981,146701446,0,104,NS,X,99,50,,
2021,166639127,146701570,1,22,19,M,20,40,19,
2021,166639386,146701789,1,62,59,M,20,40,59,
2021,166639163,146701601,0,104,NS,X,99,50,,
2021,166644499,146706264,1,68,65,M,20,40,65,
2021,166639265,146701687,1,40,37,M,20,20,37,
2021,166639024,146701482,0,104,NS,X,99,50,,
2021,166644627,146706370,1,29,26,M,10,20,26,
2021,166639128,146701571,0,104,NS,X,99,50,,
2021,171400928,150921345,1,39,36,M,20,20,36,
2021,166639119,146701563,0,104,NS,X,99,50,,
2021,166639029,146701487,0,104,NS,X,99,50,,
2021,166639058,146701513,0,104,NS,X,99,50,,
2021,169849906,149542923,1,22,19,M,20,20,19,
2021,166639530,146701922,1,103,00,M,20,40,,
2021,166639531,146701922,2,103,00,M,20,40,,
2021,166639026,146701484,0,104,NS,X,99,50,,
2021,166639521,146701914,1,26,23,M,20,40,17,29
2021,166639967,146702297,0,104,NS,X,99,50,,
2021,166644702,146706437,1,19,16,F,20,20,16,
2021,166639283,146701702,1,53,50,U,98,40,01,99
2021,166639103,146701547,1,45,42,M,20,40,42,
2021,166639759,146702118,1,24,21,M,20,20,21,
2021,166639297,146701715,1,21,18,F,20,20,18,
2021,166639215,146701645,0,104,NS,X,99,50,,
2021,166638992,146701455,1,103,00,M,20,40,,
2021,166638993,146701455,2,103,00,U,98,40,,
2021,166639051,146701506,1,26,23,M,10,10,23,24
2021,166639145,146701584,1,28,25,M,20,40,25,
2021,166639627,146702004,1,41,38,M,20,40,38,
2021,166644963,146706668,0,104,NS,X,99,50,,
2021,166639243,146701666,0,104,NS,X,99,50,,
2021,166639184,146701621,0,104,NS,X,99,50,,
2021,165207079,145432772,0,104,NS,X,99,50,,
2021,166639268,146701690,0,104,NS,X,99,50,,
2021,166639449,146701847,0,104,NS,X,99,50,,
2021,166640084,146702404,0,104,NS,X,99,50,,
2021,166639089,146701538,1,27,24,F,98,40,24,
2021,166639476,146701872,1,60,57,M,20,40,16,98
2021,166639147,146701586,1,35,32,M,20,40,32,
2021,166639411,146701814,0,104,NS,X,99,50,,
2021,166639454,146701852,1,70,67,M,20,20,67,
2021,166639256,146701678,1,23,20,M,20,40,20,
2021,166639758,146702117,1,25,22,M,20,20,22,
2021,166639010,146701470,1,21,18,M,20,40,13,23
2021,166639011,146701470,2,21,18,M,20,40,13,23
