data_year,offense_id,incident_id,offense_code,attempt_complete_flag,location_id,num_premises_entered,method_entry_code
2021,179291226,149547375,26F,A,23,,
2021,171760181,142965023,35A,C,28,,
2021,173509098,144489123,23F,C,25,,
2021,173509099,144489123,290,C,25,,
2021,173504937,144485545,23H,C,35,,
2021,176045658,146702777,23H,C,35,,
2021,173504258,144484977,13B,C,35,,
2021,171765413,142969406,13B,C,37,,
2021,176051117,146707437,290,C,25,,
2021,176058725,146713852,13B,C,35,,
2021,173507083,144487407,13C,C,40,,
2021,176052178,146708345,23F,C,98,,
2021,173510341,144490181,26F,C,35,,
2021,180877452,150921421,09A,C,35,,
2021,171762677,142967079,23F,C,25,,
2021,171762678,142967079,290,C,25,,
2021,179285555,149542749,09A,C,25,,
2021,179285556,149542749,13A,C,25,,
2021,171760843,142965565,23H,C,35,,
2021,176044623,146701890,290,C,25,,
2021,173504413,144485097,13B,C,37,,
2021,173505515,144486050,13A,C,35,,
2021,174589114,145432401,23H,A,23,,
2021,174589115,145432401,240,C,23,,
2021,179286595,149543554,220,C,25,,F
2021,179286597,149543554,290,C,25,,
2021,179286598,149543554,23H,C,25,,
2021,173504082,144484827,13B,C,25,,
2021,173503895,144484675,290,C,25,,
2021,176049968,146706502,23F,C,35,,
2021,176049969,146706502,290,C,35,,
2021,176044369,146701675,290,C,25,,
2021,173504629,144485279,13B,C,35,,
2021,176044556,146701836,290,C,37,,
2021,173504087,144484832,13B,C,35,,
2021,173504384,144485075,13C,C,35,,
2021,173504007,144484765,520,C,25,,
2021,173503992,144484755,13B,C,25,,
2021,176044120,146701459,13A,C,98,,
2021,176044637,146701904,290,C,10,,
2021,173503878,144484659,13B,C,37,,
2021,176050087,146706592,240,C,25,,
2021,176045053,146702260,290,C,25,,
2021,176044620,146701888,290,C,25,,
2021,176044621,146701888,23F,C,25,,
2021,176044614,146701882,13B,C,35,,
2021,176044557,146701837,290,C,25,,
2021,176044405,146701705,240,C,35,,
2021,176044436,146701733,290,C,25,,
2021,176044470,146701762,13B,C,35,,
2021,176044141,146701477,240,C,35,,
2021,176045273,146702451,290,C,26,,
2021,180877461,150921427,23C,C,14,,
2021,180877462,150921427,220,C,14,,N
2021,176044625,146701892,290,C,14,,
2021,176044111,146701451,13B,C,41,,
2021,176044564,146701843,13B,C,35,,
2021,176044456,146701752,240,C,35,,
2021,173503885,144484666,23D,C,24,,
2021,176044683,146701943,13C,C,35,,
2021,176044296,146701613,240,C,35,,
2021,173503953,144484722,120,C,35,,
2021,176044504,146701792,290,C,23,,
2021,176044758,146702005,13B,C,35,,
2021,180877596,150921526,23C,C,17,,
2021,176049956,146706493,13B,C,17,,
2021,176049957,146706493,23H,C,17,,
2021,176044126,146701464,290,C,35,,
2021,176044127,146701464,13B,C,35,,
2021,176044343,146701652,13B,C,25,,
2021,176044107,146701448,290,C,98,,
2021,176044290,146701607,290,C,98,,
2021,176049748,146706309,23C,C,98,,
2021,176044202,146701532,13B,C,35,,
2021,176044270,146701589,13B,C,35,,
2021,176044523,146701810,13B,C,35,,
2021,179286043,149543120,23C,C,14,,
2021,176044598,146701869,13B,C,35,,
2021,176044861,146702095,290,C,35,,
2021,174589549,145432769,290,C,35,,
2021,174589550,145432769,23F,C,33,,
2021,176044167,146701499,13B,C,35,,
2021,176044444,146701740,23C,C,14,,
2021,176044579,146701856,35A,C,23,,
2021,176044580,146701856,13B,C,35,,
2021,176044233,146701558,290,C,25,,
2021,176049195,146705840,13A,C,35,,
2021,176044415,146701714,290,C,25,,
2021,176044667,146701932,13A,C,25,,
2021,176044303,146701619,290,C,25,,
2021,176044274,146701593,35A,C,25,,
2021,176045751,146702856,290,C,35,,
2021,176044192,146701522,290,C,25,,
2021,176044371,146701677,290,C,35,,
2021,176044346,146701655,23F,C,25,,
2021,176049867,146706412,220,C,35,,F
2021,176044332,146701644,35A,C,35,,
2021,176044333,146701644,280,C,35,,
2021,176044334,146701644,520,C,35,,
2021,176044590,146701864,23H,C,98,,
2021,173505314,144485869,13B,C,35,,
2021,176044966,146702184,120,C,25,,
2021,176044474,146701766,290,C,33,,
2021,173504283,144484998,290,C,11,,
2021,176044517,146701804,240,C,35,,
2021,173503971,144484738,13B,C,25,,
2021,176044518,146701805,290,C,35,,
2021,176045766,146702870,23C,C,37,,
2021,179285998,149543087,520,C,25,,
2021,176044434,146701731,120,C,11,,
2021,176045046,146702254,290,C,25,,
2021,174589411,145432650,23C,C,14,,
2021,176050164,146706651,520,C,35,,
2021,176044616,146701884,290,C,25,,
2021,176044566,146701845,13B,C,25,,
2021,176044104,146701445,13C,C,25,,
2021,176044458,146701749,13A,C,25,,
2021,176044338,146701647,120,C,35,,
2021,174589035,145432330,23H,C,24,,
2021,176044105,146701446,240,C,11,,
2021,176044247,146701570,13B,C,35,,
2021,176044500,146701789,13A,C,35,,
2021,176044283,146701601,290,C,35,,
2021,176049692,146706264,520,C,25,,
2021,176044381,146701687,290,C,25,,
2021,176044147,146701482,220,C,35,,N
2021,176049815,146706370,23H,C,35,,
2021,176044248,146701571,290,C,14,,
2021,180877362,150921345,220,C,30,,N
2021,176044239,146701563,23D,C,35,,
2021,176044152,146701487,240,C,35,,
2021,176044182,146701513,290,C,25,,
2021,179285777,149542923,520,C,32,,
2021,176044657,146701922,120,C,35,,
2021,176044149,146701484,290,C,25,,
2021,176044648,146701914,120,C,37,,
2021,176045096,146702297,290,C,35,,
2021,176049894,146706437,120,A,35,,
2021,176044402,146701702,520,C,25,,
2021,176044219,146701547,13B,C,37,,
2021,176044889,146702118,290,C,35,,
2021,176044416,146701715,13B,C,98,,
2021,176044335,146701645,240,C,12,,
2021,176044336,146701645,23F,C,12,,
