data_year,property_id,incident_id,prop_loss_id,stolen_count,recovered_count
2021,148837996,149547375,1,,
2021,143167343,142965023,1,,
2021,144475036,144489123,4,,
2021,144475037,144489123,7,,
2021,144471939,144485545,7,,
2021,146393129,146702777,7,,
2021,146396983,146707437,4,,
2021,146397744,146708345,7,,
2021,144475933,144490181,7,,
2021,143169069,142967079,4,,
2021,143169070,142967079,7,,
2021,143167791,142965565,7,,
2021,146392402,146701890,4,,
2021,145296886,145432401,1,,
2021,145296887,145432401,7,1,
2021,148834326,149543554,4,,
2021,148834327,149543554,7,,
2021,144471147,144484675,4,,
2021,146396252,146706502,4,,
2021,146396253,146706502,7,,
2021,146392212,146701675,4,,
2021,146392353,146701836,4,,
2021,146392414,146701904,4,,
2021,146396326,146706592,7,1,
2021,146392697,146702260,4,,
2021,146392399,146701888,4,,
2021,146392400,146701888,7,,
2021,146392354,146701837,4,,
2021,146392242,146701705,7,1,
2021,146392264,146701733,4,,
2021,146392055,146701477,5,,1
2021,146392056,146701477,7,1,
2021,146392853,146702451,4,,
2021,150016416,150921427,7,,
2021,146392404,146701892,4,,
2021,146392281,146701752,7,1,
2021,144471138,144484666,7,,
2021,146392163,146701613,5,,1
2021,146392164,146701613,7,1,
2021,144471189,144484722,7,,
2021,146392314,146701792,4,,
2021,150016509,150921526,5,,
2021,150016510,150921526,7,,
2021,146396246,146706493,5,,
2021,146396247,146706493,7,,
2021,146392042,146701464,4,,
2021,146392029,146701448,4,,
2021,146392157,146701607,4,,
2021,146396113,146706309,7,,
2021,148833899,149543120,7,,
2021,146392564,146702095,4,,
2021,145297190,145432769,4,,
2021,145297191,145432769,7,,
2021,146392270,146701740,7,,
2021,146392369,146701856,6,,
2021,146392119,146701558,4,,
2021,146392248,146701714,4,,
2021,146392167,146701619,4,,
2021,146392145,146701593,6,,
2021,146393194,146702856,4,,
2021,146392092,146701522,4,,
2021,146392214,146701677,4,,
2021,146392195,146701655,7,,
2021,146396189,146706412,7,,
2021,146392187,146701644,1,,
2021,146392188,146701644,5,,
2021,146392378,146701864,7,,
2021,146392637,146702184,7,,
2021,146392291,146701766,4,,
2021,144471440,144484998,4,,
2021,146392322,146701804,7,1,
2021,146392323,146701805,4,,
2021,146393205,146702870,7,,
2021,146392262,146701731,7,,
2021,146392690,146702254,4,,
2021,145297101,145432650,7,,
2021,146392397,146701884,4,,
2021,146392191,146701647,7,,
2021,145296823,145432330,7,,
2021,146392027,146701446,7,1,
2021,146392153,146701601,4,,
2021,146392222,146701687,4,,
2021,146392062,146701482,7,,
2021,146396155,146706370,7,,
2021,146392129,146701571,4,,
2021,150016347,150921345,1,,
2021,146392123,146701563,7,,
2021,146392066,146701487,7,1,
2021,146392085,146701513,4,,
2021,146392429,146701922,7,,
2021,146392064,146701484,4,,
2021,146392422,146701914,7,,
2021,146392727,146702297,4,,
2021,146396203,146706437,1,,
2021,146392587,146702118,4,,
2021,146392189,146701645,7,1,
2021,146392502,146702004,4,,
2021,146392168,146701621,4,,
2021,145297195,145432772,4,,
2021,146392816,146702404,4,,
2021,146392386,146701872,1,,
2021,146392330,146701814,4,,
2021,146392331,146701814,7,,
2021,146392215,146701678,4,,
2021,146392586,146702117,7,,
2021,146392048,146701470,4,,
2021,146392080,146701505,4,,
2021,146392243,146701707,4,,
2021,146392437,146701933,7,,
2021,146392509,146702017,4,,
2021,145297825,145433530,1,,
2021,143167648,142965390,4,,
2021,143167649,142965390,7,,
2021,146392667,146702221,4,,
2021,146396379,146706669,1,,
2021,143167426,142965120,4,,
2021,143167427,142965120,7,,
2021,146392162,146701612,7,,
2021,146392113,146701553,7,,
2021,146392290,146701765,4,,
2021,146392332,146701815,1,,
2021,150016651,150921706,5,,
2021,150016652,150921706,7,,
2021,146392807,146702394,4,,
2021,146392808,146702394,7,,
2021,146396142,146706351,7,,
2021,146392719,146702285,4,,
2021,146392358,146701842,4,,
2021,146392359,146701842,7,,
2021,146393117,146702766,4,,
2021,146392180,146701639,4,,
2021,146392304,146701781,4,,
2021,146392235,146701698,7,,
2021,146392131,146701573,4,,
2021,150016384,150921390,1,,
2021,146392334,146701818,7,,
2021,144471561,144485116,4,,
2021,146396384,146706675,7,,
2021,146392724,146702293,4,,
2021,146392289,146701764,4,,
