data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2021,144475036,3,1,,
2021,144475036,38,200,,
2021,144475037,6,200,,
2021,144475037,25,35,,
2021,144475037,63,20,,
2021,144471939,4,3100,,
2021,146393129,6,300,,
2021,146396983,3,200,,
2021,146396983,38,200,,
2021,146397744,7,500,,
2021,146397744,63,500,,
2021,144475933,47,0,,
2021,143169069,3,1,,
2021,143169069,38,300,,
2021,143169070,9,0,,
2021,143169070,20,10,,
2021,143169070,25,40,,
2021,143169070,51,0,,
2021,143169070,61,200,,
2021,143169070,63,15,,
2021,143167791,47,0,,
2021,146392402,3,7000,,
2021,145296887,3,1,,
2021,148834326,63,1,,
2021,148834327,63,30,,
2021,144471147,3,1,,
2021,146396252,3,1,,
2021,146396252,63,500,,
2021,146396253,63,500,,
2021,146392212,3,1100,,
2021,146392353,3,1000,,
2021,146392414,3,100,,
2021,146396326,3,1000,,
2021,146392697,3,1,,
2021,146392399,3,1,,
2021,146392400,58,500,,
2021,146392400,63,1,,
2021,146392354,3,1,,
2021,146392242,3,11000,,
2021,146392264,61,1000,,
2021,146392055,3,6000,2021-08-11,
2021,146392056,3,6000,,
2021,146392853,63,1,,
2021,150016416,63,1,,
2021,146392404,33,500,,
2021,146392281,3,10000,,
2021,144471138,8,30,,
2021,146392163,37,1,2021-08-03,
2021,146392164,37,1,,
2021,144471189,61,250,,
2021,146392314,35,1,,
2021,150016509,16,53,2021-08-01,
2021,150016510,16,53,,
2021,146396246,61,1,2021-08-01,
2021,146396247,61,1,,
2021,146392042,30,1,,
2021,146392029,3,500,,
2021,146392157,3,2,,
2021,146396113,6,214,,
2021,148833899,6,60,,
2021,148833899,63,184,,
2021,146392564,42,50,,
2021,145297190,38,100,,
2021,145297191,7,600,,
2021,145297191,25,50,,
2021,146392270,8,8,,
2021,146392369,10,,,
2021,146392119,3,1,,
2021,146392248,3,2,,
2021,146392167,3,1000,,
2021,146392145,10,,,
2021,146393194,29,20,,
2021,146392092,3,15000,,
2021,146392214,3,2,,
2021,146392195,13,300,,
2021,146396189,7,700,,
2021,146396189,63,500,,
2021,146392188,13,2000,2021-08-01,
2021,146392378,47,0,,
2021,146392637,9,0,,
2021,146392637,20,6,,
2021,146392637,25,20,,
2021,146392637,51,0,,
2021,146392637,63,2,,
2021,146392291,3,1,,
2021,144471440,63,1500,,
2021,146392322,3,30000,,
2021,146392323,3,1,,
2021,146393205,8,5,,
2021,146392262,20,50,,
2021,146392262,61,51,,
2021,146392690,3,500,,
2021,146392690,38,500,,
2021,145297101,8,22,,
2021,146392397,3,2,,
2021,146392191,17,600,,
2021,146392191,20,30,,
2021,146392191,25,100,,
2021,146392191,61,400,,
2021,145296823,19,50,,
2021,146392027,3,20000,,
2021,146392153,3,501,,
2021,146392153,38,500,,
2021,146392222,3,1,,
2021,146392222,38,1,,
2021,146392062,16,160,,
2021,146392062,36,3220,,
2021,146396155,63,535,,
2021,146392129,3,5000,,
2021,146392129,63,500,,
2021,146392123,7,475,,
2021,146392066,3,14998,,
2021,146392085,3,1,,
2021,146392429,9,0,,
2021,146392429,20,200,,
2021,146392429,61,120,,
2021,146392064,3,2,,
2021,146392422,20,304,,
2021,146392727,3,1,,
2021,146392727,38,800,,
2021,146392587,16,250,,
2021,146392587,63,200,,
2021,146392189,3,1000,,
2021,146392189,49,1,,
2021,146392502,61,100,,
2021,146392168,38,3,,
2021,145297195,3,1,,
2021,146392816,3,1,,
2021,146392330,38,200,,
2021,146392330,63,200,,
2021,146392331,63,401,,
2021,146392215,42,1,,
2021,146392586,61,140,,
2021,146392048,63,350,,
2021,146392080,35,10,,
2021,146392080,54,44,,
2021,146392243,63,400,,
2021,146392437,63,1445,,
2021,146392509,3,1,,
2021,143167648,3,1,,
2021,143167649,38,10,,
2021,143167649,61,30,,
2021,146392667,3,1,,
2021,146392667,63,300,,
2021,143167426,3,1,,
2021,143167426,38,250,,
2021,143167427,9,0,,
2021,143167427,16,10,,
2021,143167427,19,20,,
2021,143167427,20,270,,
2021,143167427,25,65,,
2021,143167427,38,250,,
2021,143167427,51,0,,
2021,143167427,52,0,,
2021,143167427,61,1200,,
2021,146392162,6,200,,
2021,146392162,63,35,,
2021,146392113,51,0,,
2021,146392290,3,400,,
2021,146392290,38,400,,
2021,150016651,19,97,2021-08-02,
2021,150016652,19,97,,
2021,146392807,38,500,,
2021,146392808,62,330,,
2021,146396142,4,1,,
2021,146396142,61,1,,
2021,146392719,42,100,,
2021,146392358,3,1,,
2021,146392358,38,300,,
2021,146392359,63,200,,
2021,146393117,8,25,,
2021,146392180,3,250,,
2021,146392180,38,250,,
2021,146392304,3,1,,
2021,146392235,54,4,,
2021,146392131,42,500,,
2021,146392334,36,1700,,
2021,144471561,3,1,,
2021,146396384,20,900,,
2021,146392724,3,22000,,
2021,146392289,3,2,,
2021,146392453,9,0,,
2021,146392453,63,182,,
2021,146392093,51,0,,
2021,146392093,63,1190,,
2021,146392318,28,850,,
2021,146392229,31,1,,
2021,144471581,3,1,,
2021,144471581,38,379,,
2021,144471582,38,300,,
2021,148833512,6,250,,
2021,146392125,3,10000,,
2021,146392851,3,1001,,
2021,146392306,3,13000,,
