data_year,victim_id,incident_id,victim_seq_num,victim_type_id,assignment_type_id,activity_type_id,outside_agency_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_status_code,age_range_low_num,age_code_range_high
2021,165006889,149547375,1,4,,,,103,00,F,20,20,R,,
2021,157496045,142965023,2,8,,,,104,NS,X,99,50,,,
2021,159227857,144489123,1,4,,,,37,34,F,40,40,N,34,
2021,159223715,144485545,1,4,,,,42,39,M,10,20,R,39,
2021,161762105,146702777,1,4,,,,27,24,F,20,20,R,24,
2021,159223062,144484977,1,4,,,,41,38,M,20,20,R,38,
2021,157501153,142969406,1,4,,,,14,11,M,20,20,R,11,
2021,161767503,146707437,1,1,,,,104,NS,X,99,50,,,
2021,161774850,146713852,1,4,,,,39,36,M,20,50,,36,
2021,159225879,144487407,2,4,,,,48,45,F,20,50,,40,50
2021,161768536,146708345,1,4,,,,43,40,F,20,20,,40,
2021,159229107,144490181,1,4,,,,57,54,M,20,20,,54,
2021,166566709,150921421,1,4,,,,21,18,M,20,20,,18,
2021,157498483,142967079,1,4,,,,45,42,F,98,10,,42,
2021,157498484,142967079,2,4,,,,23,20,F,98,10,,20,
2021,165001393,149542749,1,4,,,,34,31,M,20,20,R,31,
2021,165001394,149542749,2,4,,,,28,25,M,20,20,R,25,
2021,157496727,142965565,1,4,,,,40,37,M,98,50,U,37,
2021,161761077,146701890,1,4,,,,44,41,F,98,50,,41,
2021,159223202,144485097,1,4,,,,23,20,F,10,10,U,20,
2021,159224297,144486050,1,4,,,,28,25,F,20,20,U,25,
2021,160307401,145432401,1,4,,,,50,47,M,20,20,U,47,
2021,165002385,149543554,1,4,,,,61,58,M,10,50,U,58,
2021,159222892,144484827,1,4,,,,28,25,F,20,50,U,25,
2021,159222704,144484675,1,4,,,,40,37,M,20,40,N,37,
2021,161766412,146706502,1,4,,,,32,29,F,20,40,N,29,
2021,161760830,146701675,1,4,,,,56,53,F,20,20,R,53,
2021,161760831,146701675,2,4,,,,26,23,F,20,20,R,23,
2021,159223411,144485279,1,4,,,,27,24,F,20,40,U,24,
2021,161761007,146701836,1,4,,,,64,61,M,20,40,N,61,
2021,159222897,144484832,1,4,,,,44,41,F,20,20,U,41,
2021,159223173,144485075,2,5,6,1,,39,36,M,20,50,U,24,49
2021,159223174,144485075,3,5,1,1,,46,43,M,98,40,U,21,65
2021,159223175,144485075,4,5,1,1,,37,34,M,98,50,U,19,49
2021,159222821,144484765,1,8,,,,104,NS,X,99,50,,,
2021,159222810,144484755,1,4,,,,29,26,M,10,10,U,26,
2021,161760569,146701459,1,4,,,,20,17,F,20,20,,17,
2021,161761092,146701904,1,4,,,,34,31,M,20,20,R,31,
2021,159222687,144484659,1,4,,,,36,33,M,20,20,U,33,
2021,161766517,146706592,1,4,,,,32,29,F,20,40,U,29,
2021,161761497,146702260,1,4,,,,25,22,M,20,40,,22,
2021,161761074,146701888,1,4,,,,41,38,M,98,10,R,38,
2021,161761075,146701888,2,4,,,,34,31,F,20,20,R,31,
2021,161761066,146701882,1,4,,,,54,51,M,20,40,,51,
2021,161761008,146701837,1,4,,,,41,38,M,98,50,,38,
2021,161760863,146701705,1,4,,,,32,29,M,20,20,,29,
2021,161760894,146701733,1,4,,,,25,22,F,98,50,,22,
2021,161760924,146701762,1,4,,,,42,39,F,20,20,R,39,
2021,161760593,146701477,1,4,,,,44,41,M,10,10,,41,
2021,161760594,146701477,2,4,,,,59,56,F,10,10,,56,
2021,161761726,146702451,1,1,,,,104,NS,X,99,50,,,
2021,166566717,150921427,1,1,,,,104,NS,X,99,50,,,
2021,161761079,146701892,1,1,,,,104,NS,X,99,50,,,
2021,161760560,146701451,1,4,,,,41,38,F,20,40,,38,
2021,161761014,146701843,1,4,,,,26,23,F,20,20,N,23,
2021,161760911,146701752,1,4,,,,42,39,M,20,40,R,39,
2021,159222694,144484666,1,1,,,,104,NS,X,99,50,,,
2021,161761138,146701943,1,4,,,,24,21,M,20,20,R,21,
2021,161761139,146701943,2,4,,,,57,54,F,98,40,R,54,
2021,161760757,146701613,1,4,,,,38,35,M,20,50,,35,
2021,159222765,144484722,1,4,,,,51,48,F,20,20,,48,
2021,161760957,146701792,1,1,,,,104,NS,X,99,50,,,
2021,161761208,146702005,1,4,,,,33,30,F,20,50,,30,
2021,166566850,150921526,1,1,,,,104,NS,X,99,50,,,
2021,161766402,146706493,1,4,,,,53,50,F,20,20,R,50,
2021,161760574,146701464,1,4,,,,45,42,F,98,40,R,42,
2021,161760575,146701464,2,1,,,,104,NS,X,99,50,,,
2021,161760805,146701652,1,4,,,,36,33,M,20,20,,33,
2021,161760557,146701448,1,4,,,,46,43,M,20,40,,43,
2021,161760751,146701607,1,4,,,,103,00,U,98,50,,,
2021,161766184,146706309,1,1,,,,104,NS,X,99,50,,,
2021,161760654,146701532,1,4,,,,45,42,F,98,40,R,42,
2021,161760730,146701589,1,4,,,,43,40,F,20,50,,40,
2021,161760976,146701810,1,4,,,,58,55,F,20,20,R,55,
2021,165001850,149543120,1,1,,,,104,NS,X,99,50,,,
2021,161761045,146701869,1,4,,,,27,24,F,20,20,,24,
2021,161761312,146702095,1,4,,,,67,64,F,10,20,N,64,
2021,160307824,145432769,1,4,,,,27,24,M,10,50,,24,
2021,161760619,146701499,1,4,,,,46,43,F,20,20,,43,
2021,161760901,146701740,1,1,,,,104,NS,X,99,50,,,
2021,161761029,146701856,1,4,,,,39,36,F,20,40,R,36,
2021,161761030,146701856,2,8,,,,104,NS,X,99,50,,,
2021,161760691,146701558,1,4,,,,42,39,M,20,20,,39,
2021,161765637,146705840,1,4,,,,69,66,M,20,20,R,66,
2021,161760873,146701714,1,4,,,,75,72,M,20,40,,72,
2021,161761126,146701932,1,4,,,,27,24,M,20,20,R,24,
2021,161760763,146701619,1,4,,,,58,55,M,98,50,,55,
2021,161760735,146701593,1,8,,,,104,NS,X,99,50,,,
2021,161762197,146702856,1,4,,,,46,43,M,20,40,,43,
2021,161760643,146701522,1,4,,,,38,35,F,20,20,,35,
2021,161760833,146701677,1,4,,,,53,50,F,40,20,,50,
2021,161760808,146701655,1,4,,,,37,34,M,20,50,,34,
2021,161766313,146706412,1,4,,,,24,21,M,98,40,,21,
2021,161766314,146706412,2,4,,,,68,65,M,98,10,,65,
2021,161760796,146701644,1,8,,,,104,NS,X,99,50,,,
2021,161760797,146701644,2,6,,,,104,NS,X,99,50,,,
2021,161761039,146701864,1,4,,,,60,57,M,20,20,,57,
2021,159224082,144485869,1,4,,,,26,23,F,20,40,,23,
2021,161761411,146702184,1,4,,,,28,25,F,10,50,,25,
2021,161761412,146702184,2,4,,,,28,25,F,10,50,,25,
2021,161760928,146701766,1,4,,,,65,62,F,20,50,,62,
2021,159223084,144484998,1,4,,,,39,36,M,40,20,,36,
2021,161760969,146701804,1,4,,,,51,48,M,10,20,R,48,
2021,159222784,144484738,1,4,,,,39,36,F,20,40,,36,
2021,161760971,146701805,1,4,,,,63,60,F,20,20,R,60,
2021,161762211,146702870,1,1,,,,104,NS,X,99,50,,,
2021,165001811,149543087,1,8,,,,104,NS,X,99,50,,,
2021,161760891,146701731,1,1,,,,104,NS,X,99,50,,,
2021,161760892,146701731,2,4,,,,45,42,F,40,20,,42,
2021,161761491,146702254,1,4,,,,56,53,M,20,20,R,53,
2021,160307692,145432650,1,1,,,,104,NS,X,99,50,,,
2021,161766586,146706651,1,8,,,,104,NS,X,99,50,,,
2021,161761068,146701884,1,4,,,,28,25,F,10,20,N,25,
2021,161761069,146701884,2,4,,,,56,53,F,10,20,R,53,
2021,161761016,146701845,1,4,,,,25,22,F,20,40,N,22,
2021,161760554,146701445,1,4,,,,42,39,F,20,20,R,39,
2021,161760913,146701749,1,4,,,,31,28,M,20,20,N,28,
2021,161760800,146701647,1,4,,,,27,24,M,10,10,R,24,
2021,160307318,145432330,1,1,,,,104,NS,X,99,50,,,
2021,161760555,146701446,1,4,,,,32,29,M,20,40,,29,
2021,161760705,146701570,1,4,,,,38,35,M,20,50,,35,
2021,161760954,146701789,1,4,,,,23,20,M,20,20,R,20,
2021,161760744,146701601,1,4,,,,32,29,M,98,50,,29,
2021,161766130,146706264,1,8,,,,104,NS,X,99,50,,,
2021,161760843,146701687,1,4,,,,37,34,F,20,20,R,34,
2021,161760599,146701482,1,4,,,,66,63,F,20,20,R,63,
2021,161760600,146701482,2,4,,,,52,49,M,98,10,N,49,
2021,161766263,146706370,1,4,,,,37,34,M,10,20,,34,
2021,161760706,146701571,1,4,,,,39,36,F,98,20,,36,
2021,166566610,150921345,1,4,,,,49,46,M,20,50,,46,
2021,161760696,146701563,1,4,,,,54,51,M,10,10,R,51,
2021,161760606,146701487,1,4,,,,103,00,F,10,20,R,,
2021,161760634,146701513,1,4,,,,51,48,M,98,40,N,48,
2021,165001605,149542923,1,8,,,,104,NS,X,99,50,,,
2021,161761116,146701922,1,4,,,,35,32,F,20,20,R,32,
2021,161760602,146701484,1,4,,,,40,37,F,98,40,,37,
2021,161760603,146701484,2,4,,,,30,27,F,20,20,,27,
2021,161761104,146701914,1,1,,,,104,NS,X,99,50,,,
2021,161761105,146701914,2,4,,,,23,20,F,20,40,,20,
2021,161761544,146702297,1,4,,,,23,20,M,20,20,,20,
2021,161766341,146706437,1,4,,,,45,42,M,10,20,N,42,
2021,161766342,146706437,2,4,,,,18,15,M,10,20,N,15,
2021,161760860,146701702,1,8,,,,104,NS,X,99,50,,,
2021,161760673,146701547,1,4,,,,24,21,F,10,10,,21,
2021,161760674,146701547,2,4,,,,43,40,M,10,10,,40,
2021,161761338,146702118,1,4,,,,24,21,F,20,20,R,21,
2021,161760874,146701715,1,4,,,,22,19,M,20,40,,19,
2021,161760798,146701645,1,4,,,,68,65,M,20,40,R,65,
2021,161760564,146701455,1,4,,,,44,41,M,20,40,R,41,
2021,161760626,146701506,1,4,,,,44,41,F,10,10,R,41,
2021,161760627,146701506,2,4,,,,31,28,M,10,10,,28,
2021,161760724,146701584,1,4,,,,25,22,F,20,40,N,22,
2021,161761206,146702004,1,4,,,,40,37,F,20,20,R,37,
2021,161761207,146702004,2,4,,,,19,16,F,20,20,R,16,
2021,161766606,146706668,1,8,,,,104,NS,X,99,50,,,
2021,161760819,146701666,1,4,,,,45,42,M,20,20,,42,
2021,161760820,146701666,2,4,,,,47,44,F,20,40,,44,
2021,161760765,146701621,1,4,,,,33,30,M,20,20,N,30,
2021,161760766,146701621,2,4,,,,30,27,M,20,20,N,27,
2021,161760767,146701621,3,4,,,,30,27,F,20,20,N,27,
2021,160307829,145432772,1,4,,,,79,76,F,20,20,R,76,
2021,161760846,146701690,1,8,,,,104,NS,X,99,50,,,
2021,161761018,146701847,1,4,,,,24,21,M,20,40,R,21,
2021,161761662,146702404,1,4,,,,26,23,F,20,20,R,23,
2021,161761663,146702404,2,3,,,,104,NS,X,99,50,,,
2021,161760660,146701538,1,4,,,,29,26,M,20,40,,26,
2021,161761048,146701872,1,4,,,,66,63,M,20,20,R,63,
2021,161760726,146701586,1,4,,,,15,12,F,20,40,,12,
2021,161760980,146701814,1,4,,,,39,36,M,20,20,N,36,
2021,161760981,146701814,2,4,,,,33,30,F,20,20,R,30,
2021,161761025,146701852,1,4,,,,57,54,F,20,20,R,54,
2021,161760834,146701678,1,4,,,,49,46,F,20,20,R,46,
2021,161761337,146702117,1,4,,,,23,20,F,20,20,,20,
2021,161761339,146702117,2,4,,,,49,46,F,20,20,,46,
2021,161760581,146701470,1,4,,,,32,29,M,20,20,R,29,
2021,161760582,146701470,2,4,,,,60,57,M,98,50,,16,99
2021,161760583,146701470,3,4,,,,60,57,M,98,50,,16,99
2021,161760584,146701470,4,4,,,,56,53,M,20,40,,53,
2021,161760585,146701470,5,4,,,,60,57,U,98,50,,16,99
2021,161760586,146701470,6,4,,,,30,27,F,20,20,,27,
2021,161760625,146701505,1,4,,,,89,86,F,20,40,R,86,
2021,161760865,146701707,1,4,,,,61,58,M,20,40,R,58,
2021,161760866,146701707,3,4,,,,60,57,F,20,20,,57,
2021,161765704,146705884,1,4,,,,27,24,M,20,40,R,24,
2021,161761127,146701933,1,4,,,,46,43,M,98,20,R,43,
2021,161761221,146702017,1,4,,,,47,44,F,98,40,R,44,
2021,160308688,145433530,1,1,,,,104,NS,X,99,50,,,
2021,157496501,142965390,1,4,,,,59,56,M,10,40,,56,
2021,161766120,146706255,1,4,,,,103,00,M,20,20,R,,
2021,161761387,146702166,1,4,,,,63,60,F,20,20,R,60,
2021,161761454,146702221,1,4,,,,51,48,F,20,20,,48,
2021,161766276,146706383,1,4,,,,53,50,M,20,20,R,50,
2021,161766277,146706383,2,4,,,,34,31,M,20,40,R,31,
