data_year,nibrs_month_id,agency_id,month_num,inc_data_year,reported_status,report_date,update_flag,orig_format,data_home,ddocname,did,month_pub_status
2021,40380125,2243,12,2021,I,2021-12-06,,F,,2021_12_DCMPD0000_00001190_INC,129299426,
2021,40337130,2243,9,2021,I,,,F,,2021_09_DCMPD0000_11033360_INC,113599910,
2021,40354692,2243,10,2021,I,,,F,,2021_10_DCMPD0000_11048862_INC,117000234,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_11124202_INC,116996392,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_12113231_INC,122044672,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_12117799_INC,116995746,
2021,40337130,2243,9,2021,I,,,F,,2021_09_DCMPD0000_12131602_INC,113604688,
2021,40337130,2243,9,2021,I,,,F,,2021_09_DCMPD0000_12137808_INC,122057382,
2021,40380125,2243,12,2021,I,,,F,,2021_12_DCMPD0000_12187570_INC,122065333,
2021,40354692,2243,10,2021,I,,,F,,2021_10_DCMPD0000_14004595_INC,116998441,
2021,40354692,2243,10,2021,I,,,F,,2021_10_DCMPD0000_15003190_INC,122058714,
2021,40354692,2243,10,2021,I,,,F,,2021_10_DCMPD0000_15003385_INC,117001365,
2021,40337130,2243,9,2021,I,,,F,,2021_09_DCMPD0000_20139232_INC,134719278,
2021,40337130,2243,9,2021,I,,,F,,2021_09_DCMPD0000_21032214_INC,113602236,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21106992_INC,129293058,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107005_INC,113600610,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107008_INC,122043629,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107009_INC,116995882,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107010_INC,116996960,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107017_INC,119207327,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107018_INC,129294161,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107019_INC,116995565,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107021_INC,116995387,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107025_INC,122055785,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107028_INC,122043361,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107034_INC,116996093,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107035_INC,122043563,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107039_INC,116995574,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107042_INC,116995856,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107047_INC,116995491,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107049_INC,116995479,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107050_INC,122043099,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107056_INC,122043645,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107057_INC,116995366,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107059_INC,122055959,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107064_INC,122044053,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107065_INC,122043626,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107067_INC,122043614,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107073_INC,122043565,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107074_INC,122043393,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107078_INC,122043433,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107096_INC,122043469,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107101_INC,122043123,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107103_INC,122044276,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107104_INC,134719286,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107106_INC,122043632,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107108_INC,122043089,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107122_INC,122043572,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107124_INC,122043456,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107127_INC,116995374,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107137_INC,122043686,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107140_INC,122043287,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107142_INC,116995441,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107146_INC,122043510,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107157_INC,122043754,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107163_INC,134719504,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107164_INC,122055759,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107166_INC,122043106,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107173_INC,122043334,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107174_INC,122043083,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107177_INC,122043281,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107182_INC,122055365,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107189_INC,122043188,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107191_INC,122043262,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107192_INC,122043529,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107194_INC,129293664,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107204_INC,122043603,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107215_INC,122043869,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107220_INC,119208434,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107222_INC,122043149,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107236_INC,122043444,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107244_INC,122043586,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107250_INC,122043220,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107252_INC,122049041,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107255_INC,122043410,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107262_INC,122043670,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107263_INC,122043295,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107264_INC,122043266,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107266_INC,122044759,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107270_INC,122043176,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107272_INC,122043360,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107274_INC,122043338,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107275_INC,122055591,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107276_INC,122043325,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107280_INC,122043596,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107285_INC,116996759,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107287_INC,122043959,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107290_INC,122043472,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107292_INC,116995766,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107300_INC,122043524,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107307_INC,116995461,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107310_INC,122043526,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107312_INC,122044773,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107314_INC,129293621,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107318_INC,122043431,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107324_INC,122044044,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107329_INC,119208257,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107331_INC,122056102,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107333_INC,122043618,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107335_INC,122043574,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107336_INC,122043080,
2021,40337129,2243,8,2021,I,,,F,,2021_08_DCMPD0000_21107343_INC,122043454,
