data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2022,47764890,156857304,1,2022-07-11,1,N,13B,32,29,M,20,20,U,,,29,
2022,46981636,153948830,1,2022-05-26,3,N,220,49,46,M,20,20,R,,,46,
2022,46635757,152746335,1,2022-04-04,1,N,13A,31,28,M,20,20,U,,,28,
2022,46314582,151564605,1,2022-01-01,1,N,35A,41,38,M,20,40,U,,,38,
2022,46314602,151564741,1,2022-01-01,1,N,520,36,33,M,20,20,U,,,33,
2022,45743571,149547149,1,2022-01-01,1,N,520,42,39,M,20,40,R,,,39,
2022,45743590,149547271,1,2022-01-01,1,N,520,33,30,M,20,20,U,,,30,
2022,45743575,149547185,1,2022-01-01,1,N,13B,27,24,F,20,20,U,,,24,
2022,45743628,149547473,1,2022-01-01,1,N,520,20,17,M,20,20,R,R,,17,
2022,45743601,149547321,1,2022-01-20,3,N,520,33,30,M,20,20,R,,,30,
2022,45743616,149547400,1,2022-01-01,1,N,290,32,29,F,20,20,R,,,29,
2022,45743580,149547217,1,2022-01-01,1,N,520,33,30,M,20,20,U,,,30,
2022,45743597,149547308,1,2022-01-01,1,N,13B,34,31,M,10,10,U,,,31,
2022,45743641,149547548,1,2022-01-01,1,N,13A,37,34,F,20,20,U,,,34,
2022,45743578,149547203,1,2022-01-01,1,N,13B,30,27,M,20,20,U,,,27,
2022,48980421,161264073,1,2022-01-01,1,N,13B,38,35,M,98,20,N,,,35,
2022,46980625,153943840,1,2022-01-01,1,N,520,27,24,M,20,20,N,,,24,
2022,45743604,149547356,1,2022-01-01,1,N,13B,45,42,M,20,40,R,,,42,
2022,45743593,149547293,1,2022-01-01,1,N,13A,38,35,M,20,40,U,,,35,
2022,46314601,151564730,1,2022-01-01,1,N,13C,28,25,M,10,10,N,,,25,
2022,45743666,149547717,1,2022-01-01,1,N,13B,32,29,M,20,20,R,,,29,
2022,45743561,149547054,1,2022-01-01,1,N,13B,47,44,M,20,20,R,,,44,
2022,45743611,149547389,1,2022-01-01,1,N,13B,33,30,M,20,20,R,,,30,
2022,45743592,149547283,1,2022-01-01,1,N,13B,56,53,M,20,40,R,,,53,
2022,46980723,153944106,1,2022-01-01,1,N,520,27,24,F,20,20,N,,,24,
2022,45743644,149547574,1,2022-01-01,1,N,13B,36,33,M,20,20,R,,,33,
2022,45743634,149547516,1,2022-01-10,3,N,13B,18,15,M,20,20,U,R,,15,
2022,46980579,153943714,1,2022-01-01,1,N,13B,33,30,F,40,20,R,,,30,
2022,45743577,149547201,1,2022-01-02,3,N,13B,28,25,F,20,20,R,,,25,
2022,45743594,149547299,1,2022-01-01,1,N,250,33,30,F,20,20,N,,,30,
2022,45743630,149547478,1,2022-01-01,1,N,13B,44,41,M,10,10,R,,,41,
2022,45743586,149547249,1,2022-01-01,3,N,120,25,22,M,20,20,U,,,22,
2022,45743637,149547532,1,2022-01-01,1,N,13B,32,29,F,20,20,U,,,29,
2022,45743638,149547532,2,2022-01-01,1,N,13B,50,47,M,20,40,R,,,47,
2022,45743633,149547507,1,2022-01-01,1,N,120,16,13,M,20,20,R,R,,13,
2022,45743579,149547210,1,2022-01-01,1,N,520,30,27,M,20,20,R,,,27,
2022,46980530,153943602,1,2022-01-01,1,N,250,37,34,M,20,20,R,,,34,
2022,46314589,151564661,1,2022-01-02,1,N,23D,37,34,M,20,20,U,,,34,
2022,46980634,153943866,1,2022-01-06,1,C,13B,46,43,M,10,20,R,,,43,
2022,49195202,162028562,1,2022-11-08,3,N,13B,37,34,M,20,20,N,,,34,
2022,45743588,149547261,1,2022-01-02,1,N,13B,47,44,F,20,40,R,,,44,
2022,45743615,149547395,1,2022-01-02,1,N,13B,31,28,M,10,20,R,,,28,
2022,46314576,151564564,1,2022-01-02,1,N,23D,60,57,M,20,40,R,,,57,
2022,45743559,149547042,1,2022-01-02,1,N,13B,27,24,M,20,20,R,,,24,
2022,46314553,151564472,1,2022-01-02,3,N,23D,32,29,M,20,20,R,,,29,
2022,46314554,151564472,2,2022-01-02,3,N,23D,32,29,M,20,20,U,,,29,
2022,46314556,151564477,1,2022-01-02,1,N,13A,29,26,F,20,20,U,,,26,
2022,45743602,149547331,1,2022-01-02,1,N,520,30,27,M,20,20,R,,,27,
2022,45743603,149547333,1,2022-01-02,1,N,13B,60,57,M,20,40,U,,,57,
2022,45743552,149546979,1,2022-01-02,1,N,13B,35,32,M,20,20,R,,,32,
2022,50129912,165442719,1,2022-01-02,1,N,23H,26,23,M,98,10,U,,,23,
2022,45743565,149547091,1,2022-01-02,1,N,13B,29,26,F,20,20,R,,,26,
2022,46149963,150921780,1,2022-01-03,1,N,13A,34,31,M,20,20,U,,,31,
2022,45743556,149547029,1,2022-01-03,2,N,290,37,34,M,20,20,U,,,34,
2022,45743647,149547588,1,2022-01-03,1,N,11D,58,55,M,20,40,U,,,55,
2022,45743623,149547424,1,2022-01-03,1,N,13A,48,45,M,20,20,R,,,45,
2022,45743582,149547221,1,2022-01-03,1,N,13B,26,23,M,20,20,U,,,23,
2022,45743631,149547489,1,2022-01-03,1,N,09A,45,42,M,20,20,N,,,42,
2022,45743659,149547687,1,2022-01-03,1,N,13B,24,21,F,20,20,U,,,21,
2022,45743646,149547577,1,2022-01-03,1,N,23H,35,32,M,20,20,U,,,32,
2022,45743681,149547878,1,2022-01-03,1,N,520,22,19,M,20,20,R,,,19,
2022,45743677,149547802,1,2022-01-03,1,N,13B,36,33,M,10,10,R,,,33,
2022,47353457,155324595,1,2022-05-24,3,N,13B,23,20,M,20,20,U,,,20,
2022,45743645,149547575,1,2022-01-04,1,N,13B,30,27,F,20,40,U,,,27,
2022,45743627,149547472,1,2022-01-04,1,N,13B,44,41,M,20,20,R,,,41,
2022,46314549,151564434,1,2022-01-04,3,N,13B,59,56,M,20,20,R,,,56,
2022,45743699,149547951,1,2022-01-04,1,N,13B,37,34,F,20,20,R,,,34,
2022,45743658,149547684,1,2022-01-04,1,N,520,26,23,M,20,40,U,,,23,
2022,45743690,149547910,1,2022-01-04,1,N,13B,37,34,M,20,20,R,,,34,
2022,45743626,149547471,1,2022-01-04,1,N,13B,45,42,M,20,20,R,,,42,
2022,46314597,151564709,1,2022-01-04,1,N,520,28,25,M,20,20,U,,,25,
2022,45743648,149547592,1,2022-01-04,1,N,13B,22,19,F,20,20,R,,,19,
2022,46314592,151564680,1,2022-03-22,3,N,09A,21,18,M,20,20,U,,,18,
2022,45743705,149547976,1,2022-01-04,1,N,13B,36,33,M,20,20,R,,,33,
2022,45743689,149547903,1,2022-01-05,1,N,13B,32,29,F,20,20,R,,,29,
2022,45743636,149547522,1,2022-01-05,1,N,13B,57,54,M,20,20,R,,,54,
2022,50129897,165442586,1,2022-01-05,1,N,23H,38,35,F,20,20,N,,,35,
2022,46980601,153943779,1,2022-01-05,1,N,13C,33,30,M,20,20,U,,,30,
2022,46314595,151564694,1,2022-01-05,1,M,23D,54,51,M,10,20,R,,,51,
2022,48468196,159379567,1,2022-01-05,1,N,35A,45,42,M,20,20,R,,,42,
2022,46149911,150921519,1,2022-02-21,1,N,520,19,16,M,20,20,U,R,,16,
2022,47353623,155325275,1,2022-05-10,3,M,13C,29,26,F,20,20,N,,,26,
2022,46149919,150921559,1,2022-01-05,1,N,13B,29,26,F,20,20,R,,,26,
2022,45743650,149547600,1,2022-01-05,1,N,240,18,15,M,10,10,U,R,,15,
2022,50129881,165442457,1,2022-01-12,3,N,13B,44,41,M,20,20,R,,,41,
2022,46150060,150922336,1,2022-01-05,3,N,13A,29,26,M,20,40,U,,,26,
2022,45743625,149547467,1,2022-01-05,1,N,290,31,28,M,20,20,R,,,28,
2022,45743704,149547970,1,2022-01-05,1,N,520,31,28,M,20,20,R,,,28,
2022,45743694,149547923,1,2022-01-05,1,N,35A,33,30,M,20,20,U,,,30,
2022,45743649,149547599,1,2022-01-05,1,N,35A,50,47,M,20,20,U,,,47,
2022,45743655,149547637,1,2022-01-05,1,N,35A,43,40,M,20,20,R,,,40,
2022,45743661,149547693,1,2022-01-05,1,N,13B,40,37,M,20,20,R,,,37,
2022,46149908,150921506,1,2022-01-05,1,N,13B,48,45,M,20,20,U,,,45,
2022,45743640,149547542,1,2022-01-05,1,N,520,29,26,M,20,40,U,,,26,
2022,45743651,149547622,1,2022-01-05,1,N,13B,48,45,M,10,10,R,,,45,
2022,45743715,149548109,1,2022-01-05,1,N,520,23,20,M,20,40,R,,,20,
2022,46314552,151564467,1,2022-01-06,1,N,13B,25,22,M,98,10,U,,,22,
2022,46635833,152746655,1,2022-01-06,3,N,520,28,25,M,20,20,R,,,25,
2022,45743657,149547674,1,2022-01-06,1,N,13B,46,43,M,20,20,R,,,43,
2022,45743669,149547741,1,2022-01-06,1,N,13B,30,27,M,20,20,R,,,27,
2022,46980572,153943700,1,2022-01-06,1,N,13B,49,46,M,40,40,R,,,46,
2022,45743624,149547435,1,2022-01-06,1,N,13B,58,55,M,20,40,R,,,55,
2022,46980613,153943808,1,2022-01-06,1,M,13B,46,43,M,10,20,R,,,43,
2022,45743622,149547420,1,2022-01-06,1,N,13C,38,35,M,20,20,U,,,35,
2022,49808174,164156320,1,2022-01-06,1,N,520,27,24,M,20,20,U,,,24,
2022,45743713,149548100,1,2022-01-12,1,N,220,69,66,M,20,20,U,,,66,
2022,45743693,149547921,1,2022-01-07,3,N,120,26,23,M,20,20,R,,,23,
2022,46149928,150921598,1,2022-01-06,1,N,13B,28,25,F,20,20,R,,,25,
2022,45743697,149547942,1,2022-01-06,1,N,13B,67,64,M,20,40,U,,,64,
2022,45743729,149548185,1,2022-01-07,1,N,13B,33,30,F,10,10,R,,,30,
2022,45743660,149547692,1,2022-01-07,1,N,120,35,32,M,20,20,U,,,32,
2022,45743656,149547673,1,2022-01-07,1,N,13B,24,21,M,20,20,U,,,21,
2022,45743747,149548432,1,2022-01-07,1,N,520,26,23,M,20,20,R,,,23,
2022,45743724,149548146,1,2022-01-07,1,N,13B,44,41,F,20,20,R,,,41,
2022,45743709,149548073,1,2022-01-07,1,N,13B,38,35,F,20,20,U,,,35,
2022,45743676,149547798,1,2022-01-07,1,N,13B,33,30,M,20,20,U,,,30,
2022,46980849,153944525,1,2022-01-27,3,N,120,17,14,M,20,20,R,R,,14,
2022,45743692,149547920,1,2022-01-27,3,N,120,17,14,M,20,20,R,R,,14,
2022,45743737,149548271,1,2022-01-07,1,N,13C,35,32,M,20,40,R,,,32,
2022,45743720,149548137,1,2022-01-07,1,N,35A,59,56,M,20,40,U,,,56,
2022,45743683,149547882,1,2022-01-07,1,N,290,35,32,M,20,20,U,,,32,
2022,46149955,150921743,1,2022-01-08,1,N,13B,31,28,F,10,10,N,,,28,
2022,45743716,149548112,1,2022-01-26,3,N,13B,34,31,M,20,20,U,,,31,
2022,46980632,153943865,1,2022-01-08,1,N,13B,24,21,M,98,40,U,,,21,
2022,46980633,153943865,2,2022-01-08,1,N,13B,63,60,M,10,40,R,,,60,
2022,46980655,153943898,1,2022-01-08,1,N,23D,46,43,M,20,20,U,,,43,
2022,45743687,149547898,1,2022-01-08,1,N,13B,34,31,M,20,40,U,,,31,
2022,46149936,150921648,1,2022-01-08,1,N,13B,48,45,F,20,40,U,,,45,
2022,45743685,149547892,1,2022-01-08,1,N,13B,36,33,M,20,20,N,,,33,
2022,45743734,149548222,1,2022-01-08,1,N,13B,36,33,M,20,20,N,,,33,
2022,45743714,149548102,1,2022-01-08,1,N,290,27,24,F,20,20,U,,,24,
2022,45743700,149547957,1,2022-01-08,1,N,120,16,13,M,20,20,R,R,,13,
2022,45743701,149547957,2,2022-01-08,1,N,120,18,15,M,20,20,R,R,,15,
2022,45743702,149547957,3,2022-01-08,1,N,120,19,16,M,20,40,U,R,,16,
2022,45743703,149547957,4,2022-01-08,1,N,120,17,14,M,20,20,R,R,,14,
2022,45743696,149547934,1,2022-01-08,1,N,13B,33,30,M,20,20,R,,,30,
2022,45743695,149547926,1,2022-01-08,1,N,13C,30,27,M,20,20,N,,,27,
2022,45743684,149547887,1,2022-01-08,1,N,13B,43,40,M,20,40,R,,,40,
2022,45743710,149548078,1,2022-01-08,1,N,13B,26,23,F,20,20,R,,,23,
2022,45743708,149548042,1,2022-01-08,1,N,13B,33,30,M,20,40,R,,,30,
2022,50129880,165442450,1,2022-01-08,1,N,290,22,19,M,20,40,U,,,19,
2022,46635831,152746637,1,2022-04-25,3,N,13B,41,38,M,98,10,R,,,38,
2022,45743717,149548116,1,2022-01-09,1,N,13B,35,32,F,20,20,R,,,32,
2022,45743662,149547694,1,2022-01-09,1,N,13B,23,20,F,10,40,R,,,20,
2022,45743663,149547694,2,2022-01-09,1,N,13B,23,20,M,10,10,N,,,20,
2022,45743736,149548231,1,2022-01-09,1,N,13B,26,23,F,10,40,U,,,23,
2022,45743706,149547982,1,2022-01-09,1,N,13B,34,31,M,20,20,R,,,31,
2022,45743654,149547633,1,2022-01-09,1,N,13B,48,45,F,20,40,U,,,45,
2022,45743691,149547913,1,2022-01-09,3,N,23H,52,49,M,20,20,U,,,49,
2022,45743711,149548079,1,2022-01-09,1,N,13B,23,20,M,20,20,R,,,20,
2022,45743722,149548144,1,2022-01-09,1,N,13A,19,16,M,20,20,R,R,,16,
2022,45743740,149548312,1,2022-01-09,1,N,13B,28,25,F,10,10,U,,,25,
2022,45743698,149547946,1,2022-01-09,1,N,240,19,16,M,20,20,U,R,,16,
2022,45743680,149547840,1,2022-01-09,1,N,13B,38,35,M,10,10,R,,,35,
2022,45743664,149547712,1,2022-01-10,1,N,13B,28,25,F,20,20,U,,,25,
2022,45743682,149547881,1,2022-01-10,1,N,13B,38,35,M,20,40,U,,,35,
2022,48468190,159379537,1,2022-08-10,3,N,13B,43,40,F,20,20,U,,,40,
2022,46980636,153943870,1,2022-01-10,1,N,13B,28,25,M,10,10,R,,,25,
2022,46149962,150921778,1,2022-01-10,1,N,23H,49,46,M,20,40,N,,,46,
2022,46149958,150921760,1,2022-02-15,3,N,13C,30,27,M,20,20,R,,,27,
2022,45743738,149548285,1,2022-01-10,1,N,280,31,28,M,20,20,R,,,28,
2022,45743745,149548410,1,2022-01-10,1,N,290,32,29,F,20,20,R,,,29,
2022,45743728,149548174,1,2022-01-10,1,N,13B,34,31,M,10,10,U,,,31,
2022,45743735,149548227,1,2022-01-10,1,N,13C,22,19,M,20,20,R,,,19,
2022,45743753,149548486,1,2022-01-10,1,N,13C,33,30,F,20,20,R,,,30,
2022,45743732,149548213,1,2022-01-10,1,N,13B,39,36,M,20,40,U,,,36,
2022,45743744,149548407,1,2022-01-10,1,N,13C,34,31,F,20,20,R,,,31,
2022,46980615,153943813,1,2022-01-10,1,N,13B,60,57,M,10,20,U,,,57,
