data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,2,150586591,13.500,1,12962220
2022,8,150586591,7.000,9,12962221
2022,1,148837944,6.000,9,12717465
2022,10,148837953,3.000,1,12717466
2022,5,161464050,1.000,11,14541233
2022,4,157330047,1.000,9,13969087
2022,12,157330047,3.000,1,13969088
2022,5,148838502,1.000,9,12717477
2022,10,148838502,6.000,9,12717478
2022,16,148838502,3.000,1,12717479
2022,16,148838464,4.000,9,12717475
2022,10,148838194,9.000,9,12717472
2022,1,148838230,30.000,9,12717473
2022,2,148838230,3.000,9,12717474
2022,7,161463889,39.000,9,14541202
2022,5,148838614,457.845,1,12717484
2022,1,148838531,30.300,1,12717481
2022,5,148838531,280.000,1,12717482
2022,5,161463834,16.000,9,14541188
2022,5,148838634,85.000,1,12717486
2022,5,161463967,607.814,1,14541210
2022,5,148838743,273.000,1,12717488
2022,12,148838743,56.000,9,12717489
2022,16,148838743,15.000,9,12717490
2022,5,148838806,119.000,1,12717493
2022,4,148838766,4.000,9,12717491
2022,16,148838766,1.000,9,12717492
2022,5,148839013,1.000,9,12717496
2022,16,148839013,29.000,9,12717497
2022,12,148839066,1.000,9,12717506
2022,1,148839065,22.000,1,12717503
2022,2,148839065,11.000,1,12717504
2022,1,148839016,23.500,1,12717499
2022,1,148839061,4.700,1,12717501
2022,2,148839061,1.000,11,12717502
2022,5,148839203,481.942,1,12717507
2022,5,148839038,84.500,1,12717500
2022,16,148839297,1.500,9,12717510
2022,16,148839297,52.900,1,12717511
2022,12,148839729,2.000,9,12717517
2022,12,148839729,3.000,1,12717518
2022,16,148839729,47.000,9,12717519
2022,2,158959657,56.699,1,14190997
2022,12,148839651,3.500,1,12717516
2022,5,161463963,60.000,9,14541208
2022,5,161463963,242.672,1,14541209
2022,16,148839747,1.000,9,12717520
2022,5,148839638,87.997,1,12717513
2022,16,148839638,138.000,9,12717514
2022,7,148839799,8.000,9,12717524
2022,12,148840101,5.000,1,12717537
2022,16,161464679,3.000,9,14541265
2022,10,148840073,147.868,5,12717532
2022,10,148839954,59.147,5,12717530
2022,2,148839879,1.700,1,12717527
2022,1,148840326,3.000,9,12717549
2022,12,148840386,2.000,1,12717552
2022,5,148840178,1.000,11,12717540
2022,10,148840310,29.574,5,12717545
2022,10,148840328,3.000,9,12717550
2022,12,152626234,1.500,1,13278218
2022,5,148840368,133.243,1,12717551
2022,10,148840426,29.574,5,12717555
2022,1,148840171,0.910,1,12717539
2022,1,148840074,14.900,1,12717533
2022,5,150017032,6.000,9,12888894
2022,1,148840562,1.500,1,12717558
2022,4,148840455,2.000,9,12717556
2022,10,148840668,29.574,5,12717565
2022,10,150016997,1.000,9,12888893
2022,1,150016961,28.350,1,12888890
2022,1,150016961,1.000,11,12888891
2022,1,148840322,1.000,11,12717548
2022,1,148840669,2.000,1,12717566
2022,12,148840669,15.000,9,12717567
2022,2,148840752,1.500,1,12717570
2022,10,150017632,1.000,9,12888912
2022,16,148840881,45.000,9,12717576
2022,16,148840881,3.000,1,12717577
2022,12,162558921,3.500,1,14676707
2022,5,148840801,85.049,1,12717573
2022,16,148840612,3.000,9,12717562
2022,16,148840708,240.000,1,12717568
2022,5,150018140,3492.000,1,12888929
2022,1,148840723,12.800,1,12717569
2022,1,148840979,7.000,9,12717580
2022,16,148840979,15.000,9,12717581
2022,5,148840808,121.903,1,12717574
2022,12,148840846,7.000,1,12717575
2022,10,150017289,28.350,1,12888904
2022,5,148841341,4.000,9,12717602
2022,10,150017180,29.574,5,12888899
2022,5,148841269,103.064,5,12717598
2022,1,150016664,1.000,9,12888884
2022,5,151600071,27.900,1,13119044
2022,5,150017573,68.039,1,12888908
2022,8,150017573,6.000,9,12888909
2022,1,150017614,25.000,1,12888911
2022,10,150017959,1.000,9,12888925
2022,1,150017690,1.500,1,12888914
2022,1,151600367,2.000,1,13119057
2022,16,161464066,473.000,5,14541237
2022,5,161463977,27.000,1,14541215
2022,5,161463978,1.000,11,14541216
2022,5,150017897,138.913,1,12888919
2022,16,150017897,1.500,9,12888920
2022,1,150018102,12.000,9,12888927
2022,5,150586891,1173.670,1,12962235
2022,10,150018272,32.000,9,12888934
2022,16,150018213,1360.777,1,12888933
2022,5,161464064,1.000,9,14541235
2022,1,150018576,3.000,9,12888949
2022,1,150018440,6.000,1,12888942
2022,2,150018440,15.500,1,12888943
2022,1,150018554,4.400,1,12888946
2022,2,150586734,1.200,1,12962224
2022,16,150586741,1.000,9,12962225
2022,1,150018733,3.000,9,12888958
2022,2,150018733,1.000,9,12888959
2022,5,150018733,1.000,9,12888960
2022,12,150018556,2.000,1,12888947
2022,16,150018556,111.000,1,12888948
2022,10,150018539,1.000,11,12888945
2022,12,162559097,1.000,9,14676708
2022,10,161463882,1.000,11,14541200
2022,1,150586861,55.000,1,12962233
2022,1,150586861,1.000,11,12962234
2022,10,150018764,4.000,9,12888963
2022,1,150018840,21.000,9,12888968
2022,10,150018840,1.000,9,12888969
2022,5,161463878,8.000,9,14541197
2022,5,161463878,13.920,1,14541198
2022,5,150019025,548.000,1,12888975
2022,1,150018688,10.000,1,12888955
2022,2,150018688,9.000,9,12888956
2022,16,150018688,136.000,9,12888957
2022,1,150018941,59.000,1,12888972
2022,12,150018747,0.400,1,12888962
2022,2,150018778,10.000,1,12888964
2022,2,150019241,1.000,9,12888989
2022,4,150019241,1.000,9,12888990
2022,10,150019292,6.500,1,12888993
2022,10,150019232,1.000,11,12888988
2022,1,150019263,2.000,1,12888991
2022,5,150019263,378.000,1,12888992
2022,12,150019054,5.000,9,12888977
2022,5,150019138,1.000,11,12888982
2022,16,150586973,59.000,9,12962238
2022,16,150586973,61.500,1,12962239
2022,7,161463871,17.000,9,14541194
2022,5,150019179,295.735,5,12888986
2022,16,150586758,0.500,9,12962227
2022,5,150586830,4.000,9,12962230
2022,5,150586830,163.000,1,12962231
2022,12,150019408,1.000,9,12888998
2022,5,152626322,2358.680,1,13278221
2022,16,150019311,1.000,9,12888995
2022,5,151600334,26.400,1,13119056
2022,1,165590323,1.000,1,15089998
2022,1,150019534,1.000,9,12889006
2022,1,150019749,1.000,9,12889019
2022,16,150019749,14.000,9,12889020
2022,5,150019602,1.000,9,12889010
2022,16,150019602,22.000,9,12889011
2022,16,150019602,19.200,1,12889012
2022,5,150019675,222.000,1,12889014
2022,10,150020111,1.000,11,12889040
2022,4,150019695,1.000,11,12889016
2022,5,161463917,130.408,1,14541205
2022,1,150020182,9.000,9,12889045
2022,2,152626622,1.000,1,13278232
2022,1,150020019,36.500,1,12889034
2022,5,150020055,192.777,1,12889035
2022,1,151600151,2.000,9,13119049
2022,8,151600151,1.000,9,13119050
2022,5,150017186,87.884,1,12888900
2022,16,150587381,1.000,9,12962246
2022,5,150020156,144.910,5,12889044
2022,1,150587151,3.000,1,12962243
2022,16,150587151,1.000,9,12962244
2022,7,161463835,69.000,9,14541189
2022,1,150587643,2.000,9,12962254
2022,5,150020236,25.000,9,12889050
2022,2,150587449,2.000,9,12962249
2022,16,161464047,5.500,1,14541232
2022,12,150587419,1.000,1,12962247
2022,5,150587583,267.000,1,12962252
2022,5,153819281,124.000,9,13460651
2022,12,150588014,1.000,9,12962268
2022,1,150587725,1.000,9,12962258
2022,16,150587725,4.000,1,12962259
2022,5,152626466,453.592,1,13278224
2022,11,152626466,453.592,1,13278225
2022,10,150587837,29.574,5,12962263
2022,1,150587950,1.000,1,12962264
2022,10,150587950,29.574,5,12962265
2022,1,153819353,28.000,9,13460653
2022,8,153819353,7.000,9,13460654
2022,1,150587833,2.000,9,12962260
2022,1,150587833,39.000,1,12962261
2022,1,150588120,43.000,9,12962270
2022,2,150588120,11.000,1,12962271
2022,1,150588296,1.000,1,12962275
2022,10,150588047,29.574,5,12962269
2022,12,150588526,38.500,1,12962283
2022,1,150588486,3.500,1,12962280
2022,5,161463906,155.922,1,14541203
2022,1,150588331,1.640,1,12962276
2022,2,150588331,1.620,1,12962277
2022,17,150588331,4.649,1,12962278
2022,12,151600305,27.000,1,13119055
2022,7,150588691,3.000,9,12962284
2022,16,150588793,8.000,9,12962289
2022,5,161463980,1883.000,1,14541217
2022,16,161463980,1.000,9,14541218
2022,5,161464123,1855.193,1,14541249
